STATE,STATE NAME,NEW GATING SCORE,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR,COVID+ RATE IS1
Alabama,Alabama,Bruised Red,12796,173,Green,41,31548,85% ^Severely constrained^,Severely constrained,69% ^Normal^,Normal,195,Bruised Red,244,329,286,297,296,316,307,283,273,270,257,263,265,261,244,-26% ^Decreasing^,Green,1.74,Yellow,7.7% ^Decreasing^
Alaska,Alaska,Red,2610,237,Green,94,2791,47% ^Normal^,Normal,43% ^Normal^,Normal,116,Red,77,57,51,51,55,51,53,53,63,52,49,57,45,64,77,33% ^Increasing^,Red,0.55,Green,3.1% ^Increasing^
Arizona,Arizona,Red,9573,87,Yellow,33,28823,83% ^Constrained^,Constrained,70% ^Normal^,Normal,120,Red,159,258,243,228,223,216,216,202,194,187,176,166,162,160,159,-38% ^Decreasing^,Green,2.37,Yellow,9.3% ^Decreasing^
Arkansas,Arkansas 😷,Red,9730,214,Green,67,14624,68% ^Normal^,Normal,60% ^Normal^,Normal,147,Red,165,170,170,173,165,168,168,161,157,154,154,158,161,163,165,-3% ^Decreasing^,Green,1.16,Yellow,5.1% ^Decreasing^
California,California 😷,Bruised Red,119602,201,Green,48,248796,69% ^Normal^,Normal,69% ^Normal^,Normal,191,Bruised Red,164,189,184,176,173,171,171,168,163,161,160,160,160,161,164,-13% ^Decreasing^,Green,1.8,Yellow,6.8% ^Increasing^
Colorado,Colorado,Yellow,10062,116,Green,97,10324,52% ^Normal^,Normal,54% ^Normal^,Normal,54,Yellow,45,56,55,55,60,55,54,55,50,46,41,41,42,43,45,-18% ^Decreasing^,Green,3.33,Yellow,3.3% ^Decreasing^
Connecticut,Connecticut 😷,Green,11877,221,Green,221,5371,47% ^Normal^,Normal,69% ^Normal^,Normal,24,Green,14,19,18,18,18,18,20,16,18,16,16,16,12,13,14,-26% ^Decreasing^,Green,8.69,Red,0.7% ^Decreasing^
Delaware,Delaware 😷,Red,1810,123,Green,41,4450,69% ^Normal^,Normal,59% ^Normal^,Normal,138,Red,33,46,38,37,37,35,36,36,38,39,33,31,30,33,33,-29% ^Decreasing^,Green,3.58,Yellow,7.7% ^Increasing^
District of Columbia,District of Columbia 😷,Yellow,3560,335,Green,191,1862,74% ^Elevated^,Elevated,83% ^Constrained^,Constrained,80,Yellow,119,139,128,113,109,106,118,120,118,119,115,112,116,112,119,-14% ^Decreasing^,Green,4.49,Yellow,1.7% ^Decreasing^
Florida,Florida,Bruised Red,31237,97,Yellow,20,156260,74% ^Elevated^,Elevated,54% ^Normal^,Normal,220,Bruised Red,247,347,333,321,319,323,314,305,294,274,266,265,262,255,247,-29% ^Decreasing^,Green,1.72,Yellow,16.2% ^Decreasing^
Georgia,Georgia,Bruised Red,22708,142,Green,27,84051,72% ^Elevated^,Elevated,55% ^Normal^,Normal,240,Bruised Red,242,283,281,271,270,270,271,270,264,253,244,245,247,245,242,-14% ^Decreasing^,Green,1.99,Yellow,11.6% ^Decreasing^
Hawaii,Hawaii,Bruised Red,2269,106,Green,29,7783,64% ^Normal^,Normal,87% ^Constrained^,Constrained,167,Bruised Red,145,59,83,72,74,74,74,117,93,103,122,101,101,124,145,147% ^Increasing^,Red,0.75,Green,8.6% ^Increasing^
Idaho,Idaho,Bruised Red,2411,90,Yellow,19,12875,49% ^Normal^,Normal,45% ^Normal^,Normal,218,Bruised Red,93,135,135,112,112,112,106,106,121,121,115,115,115,93,93,-31% ^Decreasing^,Green,1.0,Green,15.4% ^Flat^
Illinois,Illinois 😷,Bruised Red,42829,224,Green,68,62832,51% ^Normal^,Normal,55% ^Normal^,Normal,150,Bruised Red,120,120,117,121,117,117,115,120,128,127,121,125,122,119,120,0% ^Increasing^,Red,3.76,Yellow,4.3% ^Increasing^
Indiana,Indiana 😷,Red,9577,94,Yellow,35,27409,64% ^Normal^,Normal,58% ^Normal^,Normal,123,Red,125,150,147,143,143,137,143,139,147,135,137,140,134,126,125,-17% ^Decreasing^,Green,3.86,Yellow,8.9% ^Increasing^
Iowa,Iowa,Bruised Red,4882,103,Green,30,16415,63% ^Normal^,Normal,58% ^Normal^,Normal,158,Bruised Red,95,75,71,73,70,71,77,77,83,82,83,86,90,91,95,26% ^Increasing^,Red,1.89,Yellow,10.9% ^Increasing^
Kansas,Kansas 😷,Bruised Red,3611,82,Yellow,23,15760,58% ^Normal^,Normal,51% ^Normal^,Normal,164,Bruised Red,103,123,114,114,114,74,74,123,123,107,107,107,79,79,103,-16% ^Decreasing^,Green,1.15,Yellow,12.5% ^Flat^
Kentucky,Kentucky 😷,Red,8006,119,Green,43,18768,77% ^Elevated^,Elevated,63% ^Normal^,Normal,127,Red,143,157,160,146,146,143,149,153,147,147,138,138,126,139,143,-9% ^Decreasing^,Green,2.06,Yellow,7.7% ^Flat^
Louisiana,Louisiana 😷,Bruised Red,15195,217,Green,58,26395,66% ^Normal^,Normal,63% ^Normal^,Normal,172,Bruised Red,250,313,302,302,297,297,287,284,276,267,267,257,264,259,250,-20% ^Decreasing^,Green,3.29,Yellow,4.9% ^Decreasing^
Maine,Maine 😷,Green,2589,128,Green,128,2025,64% ^Normal^,Normal,58% ^Normal^,Normal,17,Green,7,8,7,7,7,6,7,7,8,4,4,7,7,7,7,-18% ^Decreasing^,Green,3.0,Yellow,0.7% ^Flat^
Maryland,Maryland 😷,Red,13847,152,Green,69,20106,66% ^Normal^,Normal,67% ^Normal^,Normal,101,Red,79,88,87,85,87,88,88,81,78,76,76,79,72,75,79,-11% ^Decreasing^,Green,3.6,Yellow,4.4% ^Decreasing^
Massachusetts,Massachusetts 😷,Yellow,19220,184,Green,169,11385,51% ^Normal^,Normal,64% ^Normal^,Normal,50,Yellow,53,58,56,56,54,55,56,61,58,57,54,54,53,54,53,-9% ^Decreasing^,Green,7.13,Red,1.4% ^Decreasing^
Michigan,Michigan 😷,Yellow,30478,203,Green,120,25467,72% ^Elevated^,Elevated,60% ^Normal^,Normal,77,Yellow,65,69,69,69,69,64,64,64,71,71,71,71,65,65,65,-6% ^Decreasing^,Green,6.36,Red,2.4% ^Decreasing^
Minnesota,Minnesota,Red,9734,115,Green,48,20342,68% ^Normal^,Normal,59% ^Normal^,Normal,109,Red,57,57,53,55,55,57,60,59,55,56,54,51,51,54,57,1% ^Increasing^,Red,2.68,Yellow,7.4% ^Flat^
Mississippi,Mississippi 😷,Bruised Red,2703,60,Red,11,24425,73% ^Elevated^,Elevated,54% ^Normal^,Normal,249,Bruised Red,361,398,382,387,387,361,374,386,382,372,378,378,363,366,361,-9% ^Decreasing^,Green,2.9,Yellow,23.4% ^Increasing^
Missouri,Missouri,Bruised Red,10888,118,Green,28,38398,58% ^Normal^,Normal,44% ^Normal^,Normal,190,Bruised Red,143,157,152,151,146,150,150,140,144,144,142,145,139,145,143,-9% ^Decreasing^,Green,2.0,Yellow,10.6% ^Decreasing^
Montana,Montana,Red,1500,93,Yellow,46,3243,55% ^Normal^,Normal,61% ^Normal^,Normal,92,Red,95,81,79,76,78,75,72,91,95,80,84,84,88,91,95,17% ^Increasing^,Red,1.41,Yellow,6.7% ^Increasing^
Nebraska,Nebraska,Red,2845,98,Yellow,34,8462,54% ^Normal^,Normal,45% ^Normal^,Normal,133,Red,83,77,78,81,76,75,84,81,79,76,75,74,75,82,83,8% ^Increasing^,Red,1.19,Yellow,9.5% ^Increasing^
Nevada,Nevada 😷,Bruised Red,4142,89,Yellow,18,23477,68% ^Normal^,Normal,71% ^Elevated^,Elevated,231,Bruised Red,281,363,336,317,317,329,315,324,319,308,306,306,282,293,281,-22% ^Decreasing^,Green,1.8,Yellow,17.5% ^Decreasing^
