STATE,STATE NAME,NEW GATING SCORE,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Alabama,Alabama,Bruised Red,10057,136,Green,28,36328,89% ^Severely constrained^,Severely constrained,73% ^Elevated^,Elevated,225,Bruised Red,234,307,283,273,270,257,263,265,261,244,225,238,218,223,234,-24% ^Decreasing^,Green,1.73,Yellow
Alaska,Alaska,Red,3551,322,Green,145,2442,51% ^Normal^,Normal,46% ^Normal^,Normal,101,Red,59,53,53,63,52,49,57,45,64,77,70,63,63,66,59,10% ^Increasing^,Red,0.57,Green
Arizona,Arizona,Red,8405,77,Yellow,40,20785,83% ^Constrained^,Constrained,74% ^Elevated^,Elevated,87,Red,125,216,202,194,187,176,166,162,160,159,147,147,144,133,125,-42% ^Decreasing^,Green,2.4,Yellow
Arkansas,Arkansas 😷,Bruised Red,7320,161,Green,41,17994,70% ^Normal^,Normal,64% ^Normal^,Normal,181,Bruised Red,154,168,161,157,154,154,158,161,163,165,165,169,163,166,154,-8% ^Decreasing^,Green,1.22,Yellow
California,California 😷,Red,102672,172,Green,54,191325,69% ^Normal^,Normal,73% ^Elevated^,Elevated,147,Red,142,171,168,163,161,160,160,160,161,164,157,153,149,143,142,-17% ^Decreasing^,Green,1.82,Yellow
Colorado,Colorado,Yellow,9364,108,Green,101,9273,56% ^Normal^,Normal,59% ^Normal^,Normal,49,Yellow,39,54,55,50,46,41,41,42,43,45,41,41,41,45,39,-27% ^Decreasing^,Green,3.29,Yellow
Connecticut,Connecticut 😷,Green,13678,255,Green,255,5371,51% ^Normal^,Normal,74% ^Elevated^,Elevated,30,Green,16,20,16,18,16,16,16,12,13,14,13,15,15,15,16,-19% ^Decreasing^,Green,8.58,Red
Delaware,Delaware 😷,Yellow,1552,106,Green,81,1914,71% ^Elevated^,Elevated,64% ^Normal^,Normal,60,Yellow,39,36,36,38,39,33,31,30,33,33,41,38,45,45,39,9% ^Increasing^,Red,3.57,Yellow
District of Columbia,District of Columbia 😷,Yellow,3392,319,Green,197,1725,78% ^Elevated^,Elevated,83% ^Constrained^,Constrained,74,Yellow,120,118,120,118,119,115,112,116,112,119,111,111,115,113,120,2% ^Increasing^,Red,4.43,Yellow
Florida,Florida,Bruised Red,27754,86,Yellow,22,126036,77% ^Elevated^,Elevated,57% ^Normal^,Normal,178,Bruised Red,216,314,305,294,274,266,265,262,255,247,236,228,221,213,216,-31% ^Decreasing^,Green,1.75,Yellow
Georgia,Georgia,Bruised Red,25395,159,Green,31,81991,75% ^Elevated^,Elevated,59% ^Normal^,Normal,234,Bruised Red,221,271,270,264,253,244,245,247,245,242,236,227,222,222,221,-18% ^Decreasing^,Green,2.01,Yellow
Hawaii,Hawaii,Bruised Red,2411,113,Green,33,7345,57% ^Normal^,Normal,87% ^Constrained^,Constrained,157,Bruised Red,136,74,117,93,103,122,101,101,124,145,132,117,160,136,136,83% ^Increasing^,Red,0.71,Green
Idaho,Idaho,Bruised Red,2014,75,Red,19,10338,52% ^Normal^,Normal,50% ^Normal^,Normal,175,Bruised Red,107,106,106,121,121,115,115,115,93,93,115,115,107,107,107,2% ^Increasing^,Red,1.03,Yellow
Illinois,Illinois 😷,Bruised Red,47883,251,Green,72,66099,54% ^Normal^,Normal,60% ^Normal^,Normal,158,Bruised Red,121,115,120,128,127,121,125,122,119,120,120,120,117,114,121,5% ^Increasing^,Red,3.63,Yellow
Indiana,Indiana 😷,Red,12486,123,Green,40,31048,65% ^Normal^,Normal,62% ^Normal^,Normal,140,Red,135,143,139,147,135,137,140,134,126,125,137,128,131,133,135,-5% ^Decreasing^,Green,3.68,Yellow
Iowa,Iowa,Bruised Red,4302,91,Yellow,23,18438,66% ^Normal^,Normal,62% ^Normal^,Normal,177,Bruised Red,87,77,77,83,82,83,86,90,91,95,95,93,85,82,87,13% ^Increasing^,Red,1.84,Yellow
Kansas,Kansas 😷,Bruised Red,4671,106,Green,31,15246,63% ^Normal^,Normal,55% ^Normal^,Normal,159,Bruised Red,65,74,123,123,107,107,107,79,79,103,103,102,102,102,65,-13% ^Decreasing^,Green,1.11,Yellow
Kentucky,Kentucky 😷,Red,7235,107,Green,36,19838,79% ^Elevated^,Elevated,67% ^Normal^,Normal,135,Red,126,149,153,147,147,138,138,126,139,143,143,132,132,132,126,-15% ^Decreasing^,Green,2.02,Yellow
Louisiana,Louisiana 😷,Bruised Red,14027,200,Green,59,23953,66% ^Normal^,Normal,66% ^Normal^,Normal,156,Bruised Red,202,287,284,276,267,267,257,264,259,250,234,226,226,202,202,-30% ^Decreasing^,Green,3.32,Yellow
Maine,Maine 😷,Green,3186,157,Green,157,2025,68% ^Normal^,Normal,63% ^Normal^,Normal,17,Green,4,7,7,8,4,4,7,7,7,7,5,5,3,3,4,-33% ^Decreasing^,Green,3.01,Yellow
Maryland,Maryland 😷,Red,12854,141,Green,69,18640,69% ^Normal^,Normal,71% ^Elevated^,Elevated,93,Red,67,88,81,78,76,76,79,72,75,79,75,75,73,67,67,-23% ^Decreasing^,Green,3.53,Yellow
Massachusetts,Massachusetts 😷,Yellow,18095,173,Green,147,12300,53% ^Normal^,Normal,73% ^Elevated^,Elevated,54,Yellow,44,56,61,58,57,54,54,53,54,53,55,46,45,45,44,-20% ^Decreasing^,Green,7.1,Red
Michigan,Michigan 😷,Yellow,30670,204,Green,132,23274,75% ^Elevated^,Elevated,65% ^Normal^,Normal,71,Yellow,64,64,64,71,71,71,71,65,65,65,65,65,65,65,64,0% ^Decreasing^,Green,6.19,Red
