STATE,STATE NAME,NEW GATING SCORE,COVID-LIKE SYMPTOMS (95% CI),TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Alabama,Alabama,Bruised Red,1.2% ^0.9% - 1.5%^,5076,69,Red,13,38949,87% ^Severely constrained^,Severely constrained,77% ^Elevated^,Elevated,241,Bruised Red,178,238,218,223,234,224,220,215,204,201,198,205,202,196,178,-25% ^Decreasing^,Green,1.73,Yellow
Alaska,Alaska,Red,0.6% ^0.1% - 1.2%^,5959,541,Green,235,2536,53% ^Normal^,Normal,72% ^Elevated^,Elevated,105,Red,59,63,63,66,59,63,60,59,51,59,56,53,56,63,59,-7% ^Decreasing^,Green,0.63,Green
Arizona,Arizona,Red,0.5% ^0.3% - 0.6%^,6847,62,Red,38,17980,63% ^Normal^,Normal,79% ^Elevated^,Elevated,75,Yellow,102,147,144,133,125,137,133,123,111,112,104,106,100,103,102,-30% ^Decreasing^,Green,2.52,Yellow
Arkansas,Arkansas 😷,Bruised Red,0.7% ^0.5% - 1.0%^,6913,152,Green,34,20441,68% ^Normal^,Normal,67% ^Normal^,Normal,205,Bruised Red,141,169,163,166,154,146,144,143,135,135,130,139,140,144,141,-17% ^Decreasing^,Green,1.36,Yellow
California,California 😷,Red,0.4% ^0.4% - 0.5%^,106501,179,Green,67,158626,69% ^Normal^,Normal,72% ^Elevated^,Elevated,122,Red,116,153,149,143,142,141,140,137,133,128,125,122,123,123,116,-24% ^Decreasing^,Green,1.86,Yellow
Colorado,Colorado,Yellow,0.4% ^0.2% - 0.5%^,8392,97,Yellow,88,9551,57% ^Normal^,Normal,63% ^Normal^,Normal,50,Yellow,43,41,41,45,39,42,42,44,37,39,42,42,42,41,43,4% ^Increasing^,Red,3.19,Yellow
Connecticut,Connecticut 😷,Green,0.3% ^0.2% - 0.4%^,14960,279,Green,279,5371,48% ^Normal^,Normal,74% ^Elevated^,Elevated,34,Green,18,15,15,15,16,17,16,16,17,17,17,15,16,18,18,20% ^Increasing^,Red,8.4,Red
Delaware,Delaware 😷,Red,0.2% ^0.0% - 0.4%^,2356,161,Green,74,3192,75% ^Elevated^,Elevated,74% ^Elevated^,Elevated,99,Red,62,38,45,45,39,41,51,59,59,63,56,60,66,64,62,62% ^Increasing^,Red,3.43,Yellow
District of Columbia,District of Columbia 😷,Yellow,0.8% ^0.1% - 1.5%^,3151,296,Green,196,1608,75% ^Elevated^,Elevated,86% ^Constrained^,Constrained,69,Yellow,108,111,115,113,120,123,109,118,118,108,98,99,101,103,108,-3% ^Decreasing^,Green,4.31,Yellow
Florida,Florida,Bruised Red,0.6% ^0.5% - 0.7%^,28619,88,Yellow,24,117961,75% ^Elevated^,Elevated,58% ^Normal^,Normal,166,Bruised Red,160,228,221,213,216,212,205,198,186,177,177,174,169,163,160,-30% ^Decreasing^,Green,1.85,Yellow
Georgia,Georgia,Bruised Red,0.8% ^0.7% - 1.0%^,20261,127,Green,30,67009,72% ^Elevated^,Elevated,81% ^Constrained^,Constrained,191,Bruised Red,223,227,222,222,221,213,210,201,249,243,234,232,234,233,223,-2% ^Decreasing^,Green,2.12,Yellow
Hawaii,Hawaii,Bruised Red,0.6% ^0.2% - 0.9%^,3108,146,Green,38,8160,63% ^Normal^,Normal,90% ^Constrained^,Constrained,175,Bruised Red,195,117,160,136,136,177,191,206,202,197,192,192,210,203,195,67% ^Increasing^,Red,0.83,Green
Idaho,Idaho,Bruised Red,0.9% ^0.6% - 1.3%^,2104,78,Yellow,24,8882,54% ^Normal^,Normal,50% ^Normal^,Normal,151,Bruised Red,96,115,107,107,107,90,90,98,98,101,101,101,91,91,96,-17% ^Decreasing^,Green,1.14,Yellow
