STATE,STATE NAME,NEW GATING SCORE,COVID-LIKE SYMPTOMS (95% CI),TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Alabama,Alabama,Bruised Red,0.9% ^0.7% - 1.2%^,5787,78,Yellow,19,29747,80% ^Constrained^,Constrained,64% ^Normal^,Normal,184,Bruised Red,165,201,198,205,202,196,178,179,167,172,175,159,175,170,165,-18% ^Decreasing^,Green,1.71,Yellow
Alaska,Alaska,Red,0.4% ^0.0% - 0.8%^,1807,164,Green,69,2616,44% ^Normal^,Normal,43% ^Normal^,Normal,108,Red,60,59,56,53,56,63,59,59,49,56,49,56,55,57,60,2% ^Increasing^,Red,0.61,Green
Arizona,Arizona,Red,0.6% ^0.4% - 0.8%^,6071,55,Red,45,13398,54% ^Normal^,Normal,61% ^Normal^,Normal,56,Yellow,79,112,104,106,100,103,102,102,96,91,90,90,90,86,79,-29% ^Decreasing^,Green,2.55,Yellow
Arkansas,Arkansas 😷,Bruised Red,0.8% ^0.5% - 1.0%^,7063,155,Green,35,20295,63% ^Normal^,Normal,60% ^Normal^,Normal,204,Bruised Red,130,135,130,139,140,144,141,133,128,129,132,136,136,130,130,-4% ^Decreasing^,Green,1.38,Yellow
California,California 😷,Red,0.4% ^0.3% - 0.5%^,93527,157,Green,83,112709,66% ^Normal^,Normal,68% ^Normal^,Normal,86,Red,102,128,125,122,123,123,116,111,107,107,108,109,112,107,102,-21% ^Decreasing^,Green,1.89,Yellow
Colorado,Colorado,Yellow,0.6% ^0.4% - 0.7%^,8201,95,Yellow,92,8948,53% ^Normal^,Normal,57% ^Normal^,Normal,47,Yellow,42,39,42,42,42,41,43,37,38,38,39,41,38,39,42,7% ^Increasing^,Red,3.14,Yellow
Connecticut,Connecticut 😷,Green,0.2% ^0.1% - 0.3%^,13332,248,Green,248,5371,49% ^Normal^,Normal,73% ^Elevated^,Elevated,39,Green,14,17,17,15,16,18,18,16,16,16,16,14,16,15,14,-15% ^Decreasing^,Green,8.25,Red
Delaware,Delaware 😷,Red,0.3% ^0.0% - 0.6%^,1437,98,Yellow,43,3366,71% ^Elevated^,Elevated,68% ^Normal^,Normal,105,Red,68,63,56,60,66,64,62,60,60,64,54,54,54,68,68,8% ^Increasing^,Red,3.32,Yellow
District of Columbia,District of Columbia 😷,Yellow,0.5% ^0.0% - 1.0%^,2584,243,Green,179,1447,70% ^Normal^,Normal,75% ^Elevated^,Elevated,62,Yellow,135,108,98,99,101,103,108,106,113,113,120,120,132,123,135,25% ^Increasing^,Red,4.25,Yellow
Florida,Florida,Bruised Red,0.6% ^0.5% - 0.7%^,19536,60,Red,23,85659,73% ^Elevated^,Elevated,55% ^Normal^,Normal,121,Red,131,177,177,174,169,163,160,156,150,147,147,147,143,135,131,-26% ^Decreasing^,Green,1.92,Yellow
Georgia,Georgia,Bruised Red,0.8% ^0.7% - 1.0%^,18028,113,Green,33,53870,74% ^Elevated^,Elevated,75% ^Elevated^,Elevated,154,Bruised Red,203,243,234,232,234,233,223,216,258,207,209,209,198,204,203,-17% ^Decreasing^,Green,2.15,Yellow
Hawaii,Hawaii,Red,0.2% ^0.0% - 0.4%^,4680,219,Green,91,5139,58% ^Normal^,Normal,67% ^Normal^,Normal,110,Red,170,197,192,192,210,203,195,196,187,187,187,187,182,170,170,-14% ^Decreasing^,Green,0.91,Green
Idaho,Idaho,Bruised Red,0.9% ^0.5% - 1.3%^,1441,54,Red,18,7967,46% ^Normal^,Normal,45% ^Normal^,Normal,135,Red,88,101,101,101,91,91,96,96,84,84,84,64,64,88,88,-13% ^Decreasing^,Green,1.18,Yellow
Illinois,Illinois 😷,Red,0.7% ^0.5% - 0.8%^,46087,241,Green,78,59325,49% ^Normal^,Normal,57% ^Normal^,Normal,142,Red,128,123,116,118,119,126,128,128,122,119,117,119,125,127,128,4% ^Increasing^,Red,3.27,Yellow
Indiana,Indiana 😷,Red,0.8% ^0.6% - 1.0%^,9382,92,Yellow,35,26499,57% ^Normal^,Normal,56% ^Normal^,Normal,119,Red,120,131,131,131,126,132,127,128,115,112,115,125,113,124,120,-8% ^Decreasing^,Green,3.3,Yellow
Iowa,Iowa,Bruised Red,1.1% ^0.8% - 1.3%^,4466,94,Yellow,21,21304,60% ^Normal^,Normal,54% ^Normal^,Normal,205,Bruised Red,89,100,98,95,99,98,102,100,100,98,99,103,102,96,89,-11% ^Decreasing^,Green,1.7,Yellow
Kansas,Kansas 😷,Bruised Red,0.7% ^0.5% - 1.0%^,3104,71,Red,21,14925,59% ^Normal^,Normal,54% ^Normal^,Normal,155,Bruised Red,48,113,113,72,72,115,115,108,108,108,61,61,109,109,48,-57% ^Decreasing^,Green,1.06,Yellow
Kentucky,Kentucky 😷,Red,0.5% ^0.3% - 0.7%^,7307,109,Green,38,18984,78% ^Elevated^,Elevated,62% ^Normal^,Normal,129,Red,123,128,128,125,124,132,127,128,120,120,113,114,125,126,123,-4% ^Decreasing^,Green,1.87,Yellow
Louisiana,Louisiana 😷,Red,0.8% ^0.5% - 1.0%^,15016,214,Green,67,22346,64% ^Normal^,Normal,62% ^Normal^,Normal,146,Red,156,194,194,190,196,188,183,174,174,170,169,172,168,164,156,-20% ^Decreasing^,Green,3.31,Yellow
Maine,Maine 😷,Green,0.3% ^0.1% - 0.6%^,4772,236,Green,236,2025,66% ^Normal^,Normal,61% ^Normal^,Normal,17,Green,7,6,5,4,7,8,7,7,4,4,6,5,7,8,7,25% ^Increasing^,Red,2.8,Yellow
Maryland,Maryland 😷,Red,0.3% ^0.2% - 0.5%^,8773,96,Yellow,48,18353,70% ^Normal^,Normal,75% ^Elevated^,Elevated,92,Red,61,64,59,62,64,61,63,65,58,56,60,60,61,59,61,-5% ^Decreasing^,Green,3.34,Yellow
