STATE,STATE NAME,NEW GATING SCORE,14-DAY TREND FOR COVID+,14-DAY TREND OF COVID+,14-DAY CHANGE IN COVID+,TOTAL COVID+,CASES-T-29,CASES-T-28,CASES-T-27,CASES-T-26,CASES-T-25,CASES-T-24,CASES-T-23,CASES-T-22,CASES-T-21,CASES-T-20,CASES-T-19,CASES-T-18,CASES-T-17,CASES-T-16,CASES-T-15,CASES-T-14,CASES-T-13,CASES-T-12,CASES-T-11,CASES-T-10,CASES-T-9,CASES-T-8,CASES-T-7,CASES-T-6,CASES-T-5,CASES-T-4,CASES-T-3,CASES-T-2,CASES-T-1,CASES-T-0,INFLUENZA-LIKE ILLNESS,GATING-CRITERIA-ILI,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (INCIDENCE ADJUSTED),ICU OCCUPIED,BEDS OCCUPIED,RT RANGE (90% CI),DOUBLING TIME (DAYS),DEATHS-13,DEATHS-12,DEATHS-11,DEATHS-10,DEATHS-09,DEATHS-08,DEATHS-07,DEATHS-06,DEATHS-05,DEATHS-04,DEATHS-03,DEATHS-02,DEATHS-01,DEATHS-00
Alabama,Alabama,Bruised Red,Decreasing,-40% ^Decreasing^,-40,110361,1907,1872,1821,1875,1845,1842,1755,1746,1715,1710,1650,1674,1603,1736,1649,1619,1553,1547,1511,1291,1413,1480,1450,1447,1281,1144,1313,1014,855,930,Minimal ^Level 1^,Green,12081,39,85% ^Severely constrained^,69% ^Normal^,0.7 ^0.6 - 0.8^,80.0,22.43,21.29,22.14,18.86,20.14,23.43,25.86,26.71,25.14,22.57,23.0,18.57,18.29,12.71
Alaska,Alaska,Red,Decreasing,-21% ^Decreasing^,-21,5177,125,135,141,93,95,101,118,113,118,118,125,133,137,126,123,111,106,95,87,78,70,68,66,67,75,83,83,84,82,84,Insufficient Data ^Level 0^,Green,2752,99,47% ^Normal^,43% ^Normal^,1.0 ^0.7 - 1.2^,40.0,0.43,0.29,0.29,0.29,0.29,0.14,0.14,0.29,0.29,0.29,0.29,0.29,0.29,0.43
Arizona,Arizona,Red,Decreasing,-56% ^Decreasing^,-56,194920,3051,2941,2751,2619,2540,2682,2627,2663,2464,2523,2551,2530,2423,2350,2239,2082,1990,1836,1578,1301,1208,1147,1176,1034,1021,953,935,945,926,883,Minimal ^Level 1^,Green,9532,33,83% ^Constrained^,70% ^Normal^,0.7 ^0.5 - 0.8^,151.0,68.29,53.71,55.29,55.71,55.0,53.57,50.57,59.29,54.43,48.86,50.71,50.86,50.29,47.14
Arkansas,Arkansas 😷,Red,Decreasing,-42% ^Decreasing^,-42,53487,713,703,707,735,784,784,870,789,789,817,786,752,846,650,736,743,761,753,790,695,887,776,719,689,677,622,565,469,436,439,Minimal ^Level 1^,Green,8656,60,68% ^Normal^,60% ^Normal^,0.8 ^0.7 - 0.9^,82.0,10.57,10.43,9.71,8.71,12.29,11.43,10.86,8.29,9.57,9.43,11.29,7.86,6.86,7.57
California,California 😷,Bruised Red,Increasing,18% ^Increasing^,18,632667,8911,9180,9420,9920,9881,10005,9852,9859,9397,8818,8555,8322,7819,7929,7764,7554,7060,6354,6404,6522,6428,6716,7855,8762,9023,8951,9700,9629,9446,8322,Minimal ^Level 1^,Green,123251,45,69% ^Normal^,69% ^Normal^,1.0 ^0.9 - 1.1^,50.0,141.14,137.14,143.71,137.86,133.86,138.71,138.14,135.0,134.14,140.71,136.86,133.0,126.14,124.86
Colorado,Colorado,Yellow,Decreasing,-24% ^Decreasing^,-24,53370,461,475,482,506,513,519,572,599,571,608,585,556,547,497,483,486,440,456,462,441,437,421,439,435,395,398,378,359,359,333,Minimal ^Level 1^,Green,10139,92,52% ^Normal^,54% ^Normal^,0.8 ^0.7 - 0.9^,109.0,4.43,4.14,5.43,6.43,6.43,6.43,5.14,5.86,5.57,4.86,4.57,4.57,4.57,4.57
Connecticut,Connecticut 😷,Green,Decreasing,-17% ^Decreasing^,-17,51255,78,81,84,69,126,126,126,133,140,188,205,148,148,148,154,148,98,82,73,73,73,72,82,69,77,82,82,82,100,82,Minimal ^Level 1^,Green,11633,217,47% ^Normal^,69% ^Normal^,1.2 ^1.0 - 1.4^,433.0,1.71,0.86,1.29,1.29,1.29,1.0,1.0,1.86,1.86,1.71,1.71,1.71,1.71,1.71
Delaware,Delaware 😷,Red,Increasing,29% ^Increasing^,29,16593,91,111,106,116,124,107,110,127,104,116,109,84,100,94,93,94,99,97,94,89,89,83,80,58,86,128,128,125,129,128,Minimal ^Level 1^,Green,1664,39,69% ^Normal^,59% ^Normal^,1.1 ^1.0 - 1.3^,88.0,0.86,0.86,0.43,0.71,0.86,0.86,0.57,0.57,0.86,0.71,0.43,0.29,0.29,0.29
District of Columbia,District of Columbia 😷,Red,Flat,-3% ^Flat^,-3,13325,62,69,72,71,76,75,74,74,74,67,69,68,70,71,65,65,63,66,66,64,68,71,71,74,72,76,72,67,67,61,Insufficient Data ^Level 0^,Green,3533,175,74% ^Elevated^,83% ^Constrained^,1.0 ^0.8 - 1.2^,148.0,0.43,0.43,0.57,0.71,0.71,0.71,0.86,0.86,1.0,0.71,1.0,0.86,0.86,0.86
Florida,Florida,Bruised Red,Decreasing,-28% ^Decreasing^,-28,579932,11137,11172,11116,10585,10724,10992,10544,10336,10306,10258,10216,9725,9360,9040,8448,7908,7331,7001,6813,6650,6525,6440,6495,6880,6678,6459,6151,5801,5590,5306,Minimal ^Level 1^,Green,32824,19,74% ^Elevated^,54% ^Normal^,0.8 ^0.7 - 0.9^,73.0,184.86,166.0,155.0,156.29,158.43,161.29,165.57,163.86,168.0,175.0,177.43,181.71,180.86,172.57
