STATE,STATE NAME,NEW GATING SCORE,14-DAY TREND FOR COVID+,14-DAY TREND OF COVID+,14-DAY CHANGE IN COVID+,TOTAL COVID+,CASES-T-29,CASES-T-28,CASES-T-27,CASES-T-26,CASES-T-25,CASES-T-24,CASES-T-23,CASES-T-22,CASES-T-21,CASES-T-20,CASES-T-19,CASES-T-18,CASES-T-17,CASES-T-16,CASES-T-15,CASES-T-14,CASES-T-13,CASES-T-12,CASES-T-11,CASES-T-10,CASES-T-9,CASES-T-8,CASES-T-7,CASES-T-6,CASES-T-5,CASES-T-4,CASES-T-3,CASES-T-2,CASES-T-1,CASES-T-0,INFLUENZA-LIKE ILLNESS,GATING-CRITERIA-ILI,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (INCIDENCE ADJUSTED),ICU OCCUPIED,BEDS OCCUPIED,RT RANGE (90% CI),DOUBLING TIME (DAYS),DEATHS-13,DEATHS-12,DEATHS-11,DEATHS-10,DEATHS-09,DEATHS-08,DEATHS-07,DEATHS-06,DEATHS-05,DEATHS-04,DEATHS-03,DEATHS-02,DEATHS-01,DEATHS-00,COVID+ RATE IS1
Alabama,Alabama,Bruised Red,Decreasing,-38% ^Decreasing^,-38,111478,1872,1821,1875,1845,1842,1755,1746,1715,1710,1650,1674,1603,1736,1649,1619,1553,1547,1511,1291,1413,1480,1450,1447,1281,1144,1313,1014,855,930,956,Minimal ^Level 1^,Green,12796,41,85% ^Severely constrained^,69% ^Normal^,0.8 ^0.7 - 0.9^,78.0,21.29,22.14,18.86,20.14,23.43,25.86,26.71,25.14,22.57,23.0,18.57,18.29,12.71,8.86,7.7% ^Decreasing^
Alaska,Alaska,Red,Decreasing,-11% ^Decreasing^,-11,5247,135,141,93,95,101,118,113,118,118,125,133,137,126,123,111,106,95,87,78,70,68,66,67,75,83,83,84,82,84,85,Insufficient Data ^Level 0^,Green,2610,94,47% ^Normal^,43% ^Normal^,1.0 ^0.8 - 1.2^,41.0,0.29,0.29,0.29,0.29,0.14,0.14,0.29,0.29,0.29,0.29,0.29,0.29,0.43,0.29,3.1% ^Increasing^
Arizona,Arizona,Red,Decreasing,-52% ^Decreasing^,-52,195557,2941,2751,2619,2540,2682,2627,2663,2464,2523,2551,2530,2423,2350,2239,2082,1990,1836,1578,1301,1208,1147,1176,1034,1021,953,935,945,926,883,873,Minimal ^Level 1^,Green,9573,33,83% ^Constrained^,70% ^Normal^,0.7 ^0.6 - 0.8^,153.0,53.71,55.29,55.71,55.0,53.57,50.57,59.29,54.43,48.86,50.71,50.86,50.29,47.14,41.0,9.3% ^Decreasing^
Arkansas,Arkansas 😷,Red,Decreasing,-41% ^Decreasing^,-41,54216,703,707,735,784,784,870,789,789,817,786,752,846,650,736,743,761,753,790,695,887,776,719,689,677,622,565,469,436,439,443,Minimal ^Level 1^,Green,9730,67,68% ^Normal^,60% ^Normal^,0.8 ^0.7 - 0.9^,82.0,10.43,9.71,8.71,12.29,11.43,10.86,8.29,9.57,9.43,11.29,7.86,6.86,7.57,9.29,5.1% ^Decreasing^
California,California 😷,Bruised Red,Increasing,19% ^Increasing^,19,638831,9180,9420,9920,9881,10005,9852,9859,9397,8818,8555,8322,7819,7929,7764,7554,7060,6354,6404,6522,6428,6716,7855,8762,9023,8951,9700,9629,9446,8322,7539,Minimal ^Level 1^,Green,119602,48,69% ^Normal^,69% ^Normal^,1.0 ^0.9 - 1.1^,56.0,137.14,143.71,137.86,133.86,138.71,138.14,135.0,134.14,140.71,136.86,133.0,126.14,124.86,125.0,6.8% ^Increasing^
Colorado,Colorado,Yellow,Decreasing,-31% ^Decreasing^,-31,53631,475,482,506,513,519,572,599,571,608,585,556,547,497,483,486,440,456,462,441,437,421,439,435,395,398,378,359,359,333,313,Minimal ^Level 1^,Green,10062,97,52% ^Normal^,54% ^Normal^,0.8 ^0.7 - 0.9^,116.0,4.14,5.43,6.43,6.43,6.43,5.14,5.86,5.57,4.86,4.57,4.57,4.57,4.57,5.29,3.3% ^Decreasing^
Connecticut,Connecticut 😷,Green,Increasing,6% ^Increasing^,6,51314,81,84,69,126,126,126,133,140,188,205,148,148,148,154,148,98,82,73,73,73,72,82,69,77,82,82,82,100,82,87,Minimal ^Level 1^,Green,11877,221,47% ^Normal^,69% ^Normal^,1.1 ^0.9 - 1.3^,407.0,0.86,1.29,1.29,1.29,1.0,1.0,1.86,1.86,1.71,1.71,1.71,1.71,1.71,1.0,0.7% ^Decreasing^
Delaware,Delaware 😷,Red,Increasing,40% ^Increasing^,40,16643,111,106,116,124,107,110,127,104,116,109,84,100,94,93,94,99,97,94,89,89,83,80,58,86,128,128,125,129,128,135,Minimal ^Level 1^,Green,1810,41,69% ^Normal^,59% ^Normal^,1.1 ^0.9 - 1.2^,83.0,0.86,0.43,0.71,0.86,0.86,0.57,0.57,0.86,0.71,0.43,0.29,0.29,0.29,0.57,7.7% ^Increasing^
District of Columbia,District of Columbia 😷,Yellow,Decreasing,-14% ^Decreasing^,-14,13354,69,72,71,76,75,74,74,74,67,69,68,70,71,65,65,63,66,66,64,68,71,71,74,72,76,72,67,67,61,56,Insufficient Data ^Level 0^,Green,3560,191,74% ^Elevated^,83% ^Constrained^,0.9 ^0.7 - 1.2^,162.0,0.43,0.57,0.71,0.71,0.71,0.86,0.86,1.0,0.71,1.0,0.86,0.86,0.86,1.0,1.7% ^Decreasing^
Florida,Florida,Bruised Red,Decreasing,-32% ^Decreasing^,-32,584047,11172,11116,10585,10724,10992,10544,10336,10306,10258,10216,9725,9360,9040,8448,7908,7331,7001,6813,6650,6525,6440,6495,6880,6678,6459,6151,5801,5590,5306,4735,Minimal ^Level 1^,Green,31237,20,74% ^Elevated^,54% ^Normal^,0.8 ^0.7 - 0.9^,83.0,166.0,155.0,156.29,158.43,161.29,165.57,163.86,168.0,175.0,177.43,181.71,180.86,172.57,167.0,16.2% ^Decreasing^
