STATE,STATE NAME,NEW GATING SCORE,14-DAY TREND FOR COVID+,14-DAY TREND OF COVID+,14-DAY CHANGE IN COVID+,TOTAL COVID+,CASES-T-29,CASES-T-28,CASES-T-27,CASES-T-26,CASES-T-25,CASES-T-24,CASES-T-23,CASES-T-22,CASES-T-21,CASES-T-20,CASES-T-19,CASES-T-18,CASES-T-17,CASES-T-16,CASES-T-15,CASES-T-14,CASES-T-13,CASES-T-12,CASES-T-11,CASES-T-10,CASES-T-9,CASES-T-8,CASES-T-7,CASES-T-6,CASES-T-5,CASES-T-4,CASES-T-3,CASES-T-2,CASES-T-1,CASES-T-0,INFLUENZA-LIKE ILLNESS,COVID-LIKE SYMPTOMS (95% CI),GATING-CRITERIA-ILI,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (INCIDENCE ADJUSTED),ICU OCCUPIED,BEDS OCCUPIED,RT RANGE (90% CI),DOUBLING TIME (DAYS),DEATHS-13,DEATHS-12,DEATHS-11,DEATHS-10,DEATHS-09,DEATHS-08,DEATHS-07,DEATHS-06,DEATHS-05,DEATHS-04,DEATHS-03,DEATHS-02,DEATHS-01,DEATHS-00
Alabama,Alabama,Bruised Red,Increasing,28% ^Increasing^,28,129285,1553,1547,1511,1291,1413,1480,1450,1447,1281,1144,1313,1014,855,930,956,985,923,993,947,1101,983,1111,1225,1345,1337,1454,1335,1482,1284,1180,Minimal ^Level 1^,1.2% ^0.9% - 1.5%^,Green,5076,13,87% ^Severely constrained^,77% ^Elevated^,1.1 ^1.0 - 1.2^,73.0,13.86,16.43,16.43,14.14,14.43,14.43,14.57,16.71,20.14,21.29,22.57,23.29,24.57,22.43
Alaska,Alaska,Red,Flat,1% ^Flat^,1,6339,106,95,87,78,70,68,66,67,75,83,83,84,82,84,85,83,76,77,71,74,70,67,67,74,77,75,71,71,73,77,Insufficient Data ^Level 0^,0.6% ^0.1% - 1.2%^,Green,5959,235,53% ^Normal^,72% ^Elevated^,0.9 ^0.7 - 1.2^,55.0,0.43,0.43,0.57,0.57,1.0,1.14,1.14,1.0,0.86,0.71,0.71,0.43,0.29,0.43
Arizona,Arizona,Red,Decreasing,-26% ^Decreasing^,-26,203953,1990,1836,1578,1301,1208,1147,1176,1034,1021,953,935,945,926,883,873,784,740,749,652,630,622,557,551,537,485,508,489,438,486,545,Minimal ^Level 1^,0.5% ^0.3% - 0.6%^,Green,6847,38,63% ^Normal^,79% ^Elevated^,0.8 ^0.7 - 0.9^,257.0,37.86,37.71,37.86,37.86,37.57,37.43,35.0,41.43,35.86,37.0,36.86,36.0,24.14,28.71
Arkansas,Arkansas 😷,Bruised Red,Increasing,33% ^Increasing^,33,63081,761,753,790,695,887,776,719,689,677,622,565,469,436,439,443,428,466,601,558,545,555,544,569,562,597,612,619,589,584,619,Minimal ^Level 1^,0.7% ^0.5% - 1.0%^,Green,6913,34,68% ^Normal^,67% ^Normal^,1.0 ^0.9 - 1.1^,68.0,10.86,10.57,12.57,13.29,13.14,14.43,14.0,13.29,14.0,13.86,14.43,14.71,15.57,17.43
California,California 😷,Red,Decreasing,-32% ^Decreasing^,-32,717177,7060,6354,6404,6522,6428,6716,7855,8762,9023,8951,9700,9629,9446,8322,7539,7373,7037,6172,6015,5798,5775,5753,5540,5503,5278,5177,5067,4957,4708,4807,Minimal ^Level 1^,0.4% ^0.4% - 0.5%^,Green,106501,67,69% ^Normal^,72% ^Elevated^,0.9 ^0.8 - 1.0^,101.0,117.86,120.14,130.0,130.0,130.71,126.29,123.43,124.14,120.86,110.14,111.57,108.71,108.0,111.0
Colorado,Colorado,Yellow,Flat,1% ^Flat^,1,58019,440,456,462,441,437,421,439,435,395,398,378,359,359,333,313,306,287,293,292,281,282,310,299,302,312,308,297,298,282,289,Minimal ^Level 1^,0.4% ^0.2% - 0.5%^,Green,8392,88,57% ^Normal^,63% ^Normal^,0.9 ^0.8 - 1.0^,137.0,7.43,6.71,6.71,6.71,6.57,5.43,5.0,2.86,4.0,4.0,4.0,3.57,3.86,2.57
Connecticut,Connecticut 😷,Green,Increasing,38% ^Increasing^,38,53209,98,82,73,73,73,72,82,69,77,82,82,82,100,82,87,93,89,89,89,106,112,129,131,139,139,139,124,138,127,123,Minimal ^Level 1^,0.3% ^0.2% - 0.4%^,Green,14960,279,48% ^Normal^,74% ^Elevated^,1.1 ^1.0 - 1.3^,298.0,1.0,1.0,1.0,0.57,1.0,0.86,1.0,0.71,0.71,0.71,0.71,0.43,0.57,0.43
Delaware,Delaware 😷,Red,Increasing,57% ^Increasing^,57,17653,99,97,94,89,89,83,80,58,86,128,128,125,129,128,135,107,61,62,63,58,53,49,37,45,74,64,70,82,80,97,Minimal ^Level 1^,0.2% ^0.0% - 0.4%^,Green,2356,74,75% ^Elevated^,74% ^Elevated^,1.0 ^0.8 - 1.3^,124.0,1.0,1.0,1.0,1.57,1.43,1.29,1.29,0.57,0.57,0.57,0.14,0.29,0.29,0.29
District of Columbia,District of Columbia 😷,Yellow,Flat,-3% ^Flat^,-3,14135,63,66,66,64,68,71,71,74,72,76,72,67,67,61,56,55,50,54,53,52,51,53,55,55,56,53,50,52,51,49,Minimal ^Level 1^,0.8% ^0.1% - 1.5%^,Green,3151,196,75% ^Elevated^,86% ^Constrained^,0.9 ^0.7 - 1.2^,199.0,1.14,1.0,1.0,1.0,0.71,0.71,0.57,0.43,0.14,0.29,0.43,0.43,0.43,0.57
Florida,Florida,Bruised Red,Decreasing,-17% ^Decreasing^,-17,637013,7331,7001,6813,6650,6525,6440,6495,6880,6678,6459,6151,5801,5590,5306,4735,4495,4286,3994,3879,3819,3653,3525,3341,3217,3058,3002,2949,3648,3531,3575,Minimal ^Level 1^,0.6% ^0.5% - 0.7%^,Green,28619,24,75% ^Elevated^,58% ^Normal^,0.8 ^0.7 - 0.9^,121.0,146.86,133.0,125.0,122.86,117.71,115.0,117.86,113.57,119.71,114.43,113.86,114.86,111.29,112.71
Georgia,Georgia,Bruised Red,Decreasing,-20% ^Decreasing^,-20,277288,3341,3230,3236,3345,3346,3370,3520,3491,3396,3270,3106,2919,2834,2727,2547,2582,2534,2436,2417,2485,2382,2373,2333,2249,2219,2146,2031,2049,2003,2031,Minimal ^Level 2^,0.8% ^0.7% - 1.0%^,Green,20261,30,72% ^Elevated^,81% ^Constrained^,0.9 ^0.8 - 1.0^,92.0,60.71,60.43,61.43,61.29,66.86,66.0,69.86,67.57,69.14,67.43,68.0,67.29,69.14,67.86
Hawaii,Hawaii,Bruised Red,Increasing,13% ^Increasing^,13,8991,119,128,132,143,164,179,170,195,221,200,204,211,221,225,236,219,219,218,219,223,253,196,202,246,251,255,248,213,238,247,Minimal ^Level 1^,0.6% ^0.2% - 0.9%^,Green,3108,38,63% ^Normal^,90% ^Constrained^,1.0 ^0.9 - 1.1^,23.0,0.71,0.86,1.0,1.0,1.29,1.0,0.86,1.43,1.86,2.14,2.29,3.0,3.57,3.43
Idaho,Idaho,Bruised Red,Decreasing,-24% ^Decreasing^,-24,32664,430,433,450,457,483,475,489,480,489,462,464,426,427,406,390,366,356,314,312,313,304,307,298,286,288,288,288,288,270,269,Minimal ^Level 2^,0.9% ^0.6% - 1.3%^,Green,2104,24,54% ^Normal^,50% ^Normal^,1.0 ^0.8 - 1.1^,82.0,6.71,5.57,5.29,5.43,5.86,6.29,6.57,6.43,7.0,7.43,7.43,6.71,6.0,5.0
Illinois,Illinois 😷,Red,Flat,-3% ^Flat^,-3,241705,1627,1652,1670,1749,1737,1740,1751,1734,1717,1745,1693,1719,1784,1811,1904,1904,1903,1979,2026,2003,1994,1975,1957,1977,1909,1923,1931,1904,1900,1851,Minimal ^Level 1^,0.6% ^0.5% - 0.7%^,Green,40719,67,55% ^Normal^,66% ^Normal^,1.0 ^0.9 - 1.1^,88.0,19.14,20.86,19.14,18.57,19.0,20.86,20.29,20.0,19.14,19.86,19.71,21.0,19.57,19.71
Indiana,Indiana 😷,Red,Increasing,12% ^Increasing^,12,96854,811,823,871,881,924,937,944,935,936,911,913,870,859,855,831,816,812,806,788,941,939,1003,1032,999,1017,1054,943,924,913,907,Low ^Level 4^,0.6% ^0.5% - 0.8%^,Green,9756,33,62% ^Normal^,62% ^Normal^,1.0 ^0.9 - 1.1^,72.0,13.57,12.86,12.43,12.86,10.86,11.29,10.71,9.86,9.57,10.14,10.14,10.14,9.43,9.43
Iowa,Iowa,Bruised Red,Increasing,41% ^Increasing^,41,65523,483,475,469,472,471,461,470,450,425,438,501,520,522,517,497,526,582,563,550,559,620,707,824,852,859,921,956,946,916,820,Low ^Level 4^,0.9% ^0.6% - 1.1%^,Green,4731,17,59% ^Normal^,62% ^Normal^,1.1 ^1.0 - 1.2^,53.0,7.86,8.29,8.71,9.0,9.0,8.71,9.86,10.57,11.0,11.0,10.29,10.14,8.43,7.43
Kansas,Kansas 😷,Bruised Red,Increasing,35% ^Increasing^,35,43940,407,407,404,404,404,408,408,404,404,464,464,464,491,491,478,478,424,424,424,462,462,578,578,599,599,599,602,602,572,572,Minimal ^Level 1^,0.9% ^0.6% - 1.2%^,Green,3450,18,63% ^Normal^,57% ^Normal^,1.1 ^1.0 - 1.2^,51.0,2.43,2.43,2.43,3.0,3.0,3.71,3.71,3.43,3.43,3.43,2.86,2.86,3.0,3.0
Kentucky,Kentucky 😷,Bruised Red,Increasing,24% ^Increasing^,24,50885,573,553,521,551,542,535,514,601,633,643,622,619,634,644,569,563,567,476,602,601,610,615,622,642,759,643,642,660,680,701,Minimal ^Level 1^,0.7% ^0.5% - 1.0%^,Green,7363,32,79% ^Elevated^,68% ^Normal^,1.1 ^1.0 - 1.2^,48.0,8.57,7.71,9.71,9.57,9.29,8.57,7.71,7.71,8.14,7.0,6.86,7.57,9.14,9.43
Louisiana,Louisiana 😷,Bruised Red,Flat,1% ^Flat^,1,150651,1881,1824,1781,1781,1665,1588,1238,1194,1170,1142,1142,931,932,857,800,769,712,712,718,726,713,722,688,646,646,703,661,681,697,716,Minimal ^Level 2^,0.8% ^0.5% - 1.0%^,Green,14000,59,66% ^Normal^,66% ^Normal^,1.1 ^1.0 - 1.2^,143.0,36.71,36.71,34.14,34.0,34.71,34.57,33.86,31.0,31.0,26.43,26.57,26.71,21.86,21.0
Maine,Maine 😷,Green,Increasing,19% ^Increasing^,19,4617,18,16,15,13,12,11,11,11,13,14,17,18,21,23,23,23,24,25,24,23,22,22,23,22,25,25,24,26,25,29,Minimal ^Level 1^,0.5% ^0.2% - 0.7%^,Green,5018,248,71% ^Elevated^,70% ^Elevated^,1.0 ^0.6 - 1.4^,108.0,0.43,0.43,0.57,0.57,0.57,0.71,0.57,0.43,0.29,0.14,0.14,0.14,0.14,0.14
Maryland,Maryland 😷,Red,Flat,-2% ^Flat^,-2,110012,877,833,780,745,747,731,713,708,736,724,730,673,637,627,609,581,575,547,556,565,544,548,548,538,539,527,511,545,548,564,Minimal ^Level 1^,0.3% ^0.2% - 0.5%^,Green,11789,63,72% ^Elevated^,80% ^Constrained^,1.0 ^0.9 - 1.1^,133.0,6.14,7.0,7.43,7.57,8.14,8.0,7.57,8.86,8.71,8.71,8.71,7.71,7.0,8.0
Massachusetts,Massachusetts 😷,Yellow,Decreasing,-19% ^Decreasing^,-19,121546,423,397,383,382,369,380,358,337,349,320,312,309,300,269,345,344,384,352,309,373,405,334,342,338,381,410,359,353,305,311,Minimal ^Level 1^,0.3% ^0.1% - 0.4%^,Green,20543,196,53% ^Normal^,71% ^Elevated^,0.9 ^0.8 - 1.0^,-108.0,13.86,14.71,13.14,16.43,17.29,15.86,17.0,17.43,16.43,18.29,16.0,14.86,10.43,10.0
Michigan,Michigan 😷,Yellow,Increasing,26% ^Increasing^,26,115242,703,696,699,694,709,705,720,685,743,751,799,790,778,741,772,680,556,609,650,705,748,770,818,931,727,817,763,740,713,700,Minimal ^Level 1^,0.5% ^0.3% - 0.6%^,Green,28374,123,75% ^Elevated^,74% ^Elevated^,1.0 ^0.9 - 1.1^,112.0,9.71,9.86,9.57,10.14,10.86,10.29,10.29,11.14,8.14,12.71,12.86,11.86,13.0,12.14
Minnesota,Minnesota,Red,Increasing,30% ^Increasing^,30,78123,690,707,675,702,707,708,668,646,622,648,616,608,600,603,616,616,630,636,633,655,664,660,726,730,770,801,795,807,836,819,Minimal ^Level 1^,0.6% ^0.4% - 0.7%^,Green,9271,34,74% ^Elevated^,70% ^Normal^,1.1 ^1.0 - 1.2^,64.0,8.57,8.86,8.71,8.43,8.29,8.29,9.14,8.57,8.0,7.43,7.0,6.71,5.71,4.86
