Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
20200826,AK,5719,1360,200.0,,140.0,725.0,205.0,158.0,167.0,2764.0,346.0,2030.0,3343,37.0,15.0,0.0,,3.0,13.0,5.0,0.0,0.0,1.0,0.0,36.0,1.0
20200826,AL,119254,36070,29948.0,,437.0,,,,5976.0,46831.0,6906.0,53764.0,58571,2045.0,1043.0,799.0,,6.0,,,,43.0,153.0,58.0,1668.0,318.0
20200826,AR,58023,32047,13087.0,,791.0,179.0,2349.0,,4584.0,4986.0,12865.0,45158.0,0,732.0,456.0,178.0,,10.0,3.0,39.0,,44.0,2.0,58.0,672.0,2.0
20200826,AS,,,,,,,,,,,,,,,,,,,,,,,,,,
20200826,AZ,199459,45650,5883.0,59286.0,1789.0,11715.0,,,5855.0,69281.0,59286.0,70892.0,69281,4896.0,1845.0,149.0,1479.0,55.0,531.0,,,83.0,586.0,1479.0,2831.0,586.0
20200826,CA,679099,75578,19168.0,266430.0,24252.0,1075.0,2548.0,3949.0,54653.0,231446.0,266430.0,181223.0,231446,12407.0,3549.0,945.0,5786.0,1421.0,38.0,54.0,76.0,134.0,404.0,5786.0,6217.0,404.0
20200826,CO,55993,20611,2682.0,21456.0,1136.0,313.0,223.0,750.0,459.0,8365.0,21456.0,26174.0,,1835.0,1150.0,120.0,420.0,58.0,13.0,5.0,25.0,7.0,33.0,420.0,1378.0,33.0
20200826,CT,52220,18236,6902.0,10032.0,746.0,51.0,,180.0,342.0,15731.0,10032.0,26457.0,15731,4463.0,3265.0,658.0,395.0,48.0,48.0,,34.0,20.0,41.0,395.0,4027.0,41.0
20200826,DC,13722,2905,7066.0,,213.0,33.0,38.0,,3233.0,234.0,3599.0,8879.0,1244,605.0,64.0,450.0,77.0,8.0,,,,6.0,0.0,77.0,528.0,0.0
20200826,DE,16986,5930,4433.0,4190.0,226.0,,,,797.0,1410.0,4190.0,11386.0,1410,604.0,369.0,155.0,44.0,1.0,,,,9.0,26.0,44.0,534.0,26.0
