state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2020-08-20,"51,374","51,028","51,720",6.92,6.56,7.29,"708,074","705,402","710,746"
CW,2020-08-21,"50,250","49,889","50,611",6.77,6.35,7.2,"708,769","705,191","712,347"
CW,2020-08-22,"48,325","48,042","48,607",6.53,6.2,6.85,"706,157","703,059","709,255"
CW,2020-08-23,"47,924","47,543","48,306",6.49,6.06,6.93,"704,251","701,096","707,406"
CW,2020-08-24,"48,416","48,065","48,767",6.51,6.1,6.92,"710,090","707,303","712,877"
CW,2020-08-25,"48,615","48,348","48,883",6.51,6.19,6.83,"712,686","710,162","715,211"
CW,2020-08-26,"47,631","47,254","48,008",6.36,5.92,6.8,"718,373","715,772","720,974"
CW,2020-08-27,"46,525","46,131","46,919",6.24,5.77,6.71,"720,871","718,241","723,500"
CW,2020-08-28,"45,010","44,588","45,431",6.07,5.56,6.57,"717,946","715,556","720,335"
CW,2020-08-29,"43,809","43,360","44,258",5.93,5.39,6.46,"714,275","711,631","716,919"
CW,2020-08-30,"43,211","42,738","43,685",5.86,5.39,6.34,"712,134","708,891","715,377"
CW,2020-08-31,"43,357","42,942","43,772",5.89,5.53,6.25,"712,153","709,945","714,361"
CW,2020-09-01,"44,309","43,905","44,712",5.98,5.65,6.32,"716,187","714,009","718,365"
CW,2020-09-02,"43,386","43,069","43,703",5.83,5.68,5.99,"719,639","718,006","721,273"
CW,2020-09-03,"42,581","42,198","42,965",5.75,5.31,6.2,"716,542","714,933","718,151"
CW,2020-09-04,"41,514","41,110","41,918",5.61,5.14,6.08,"715,504","713,828","717,179"
CW,2020-09-05,"40,595","40,161","41,030",5.51,4.99,6.02,"713,668","711,744","715,593"
CW,2020-09-06,"39,878","39,442","40,314",5.45,4.92,5.98,"709,041","706,642","711,441"
CW,2020-09-07,"40,154","39,712","40,597",5.48,4.95,6.01,"710,021","708,056","711,986"
CW,2020-09-08,"40,807","40,389","41,225",5.56,5.07,6.05,"711,219","709,546","712,892"
CW,2020-09-09,"41,249","40,844","41,654",5.61,5.14,6.08,"715,598","713,847","717,350"
CW,2020-09-10,"39,451","39,091","39,811",5.35,5.23,5.47,"716,602","714,967","718,237"
CW,2020-09-11,"38,255","37,834","38,676",5.19,4.91,5.46,"717,857","716,163","719,551"
CW,2020-09-12,"37,441","36,960","37,921",5.09,4.72,5.47,"715,063","713,139","716,987"
CW,2020-09-13,"37,038","36,573","37,503",5.08,4.72,5.44,"708,924","706,811","711,036"
CW,2020-09-14,"37,536","37,083","37,989",5.13,4.8,5.45,"712,458","710,643","714,272"
CW,2020-09-15,"37,930","37,494","38,367",5.19,4.91,5.47,"711,236","709,561","712,911"
CW,2020-09-16,"37,100","36,711","37,489",5.07,4.93,5.22,"711,667","709,867","713,466"
CW,2020-09-17,"35,746","35,297","36,194",4.86,4.54,5.17,"712,488","710,777","714,199"
CW,2020-09-18,"35,456","34,999","35,913",4.81,4.48,5.15,"712,242","710,529","713,954"
CW,2020-09-19,"35,278","34,769","35,787",4.82,4.36,5.28,"709,130","706,062","712,198"
CW,2020-09-20,"34,751","34,184","35,318",4.74,4.15,5.33,"711,253","707,157","715,349"
DC,2020-08-20,134,134,134,4.87,4.87,4.87,"2,749","2,749","2,749"
DC,2020-08-21,125,122,128,4.63,2.45,6.81,"2,699","2,574","2,824"
DC,2020-08-22,131,128,134,5.34,2.82,7.86,"2,454","2,329","2,579"
DC,2020-08-23,144,144,144,5.83,5.83,5.83,"2,472","2,472","2,472"
DC,2020-08-24,137,137,137,5.03,5.03,5.03,"2,725","2,725","2,725"
DC,2020-08-25,123,123,123,4.47,4.47,4.47,"2,752","2,752","2,752"
DC,2020-08-26,124,124,124,4.52,4.52,4.52,"2,742","2,742","2,742"
DC,2020-08-27,125,125,125,4.61,4.61,4.61,"2,710","2,710","2,710"
DC,2020-08-28,130,130,130,4.76,4.76,4.76,"2,729","2,729","2,729"
DC,2020-08-29,116,116,116,4.08,4.08,4.08,"2,840","2,840","2,840"
DC,2020-08-30,119,119,119,4.42,4.42,4.42,"2,693","2,569","2,817"
DC,2020-08-31,108,108,108,3.93,3.93,3.93,"2,746","2,746","2,746"
DC,2020-09-01,121,121,121,4.36,4.36,4.36,"2,774","2,774","2,774"
DC,2020-09-02,122,122,122,4.38,4.38,4.38,"2,784","2,784","2,784"
DC,2020-09-03,126,126,126,4.5,4.5,4.5,"2,800","2,800","2,800"
DC,2020-09-04,130,130,130,4.66,4.66,4.66,"2,792","2,792","2,792"
DC,2020-09-05,128,128,128,5.02,5.02,5.02,"2,550","2,550","2,550"
DC,2020-09-06,115,115,115,4.57,4.57,4.57,"2,516","2,516","2,516"
DC,2020-09-07,122,122,122,4.81,4.81,4.81,"2,536","2,536","2,536"
DC,2020-09-08,142,142,142,5.07,5.07,5.07,"2,802","2,802","2,802"
DC,2020-09-09,145,145,145,5.09,5.09,5.09,"2,848","2,848","2,848"
DC,2020-09-10,140,140,140,4.94,4.94,4.94,"2,834","2,834","2,834"
DC,2020-09-11,145,145,145,5.08,5.08,5.08,"2,854","2,616","3,092"
DC,2020-09-12,145,145,145,5.2,5.2,5.2,"2,789","2,789","2,789"
DC,2020-09-13,128,128,128,4.59,4.59,4.59,"2,788","2,788","2,788"
DC,2020-09-14,130,130,130,4.57,4.57,4.57,"2,845","2,845","2,845"
DC,2020-09-15,156,156,156,5.47,5.47,5.47,"2,850","2,850","2,850"
DC,2020-09-16,166,166,166,5.82,5.82,5.82,"2,852","2,852","2,852"
DC,2020-09-17,148,148,148,5.19,5.19,5.19,"2,850","2,850","2,850"
DC,2020-09-18,125,125,125,4.39,4.39,4.39,"2,847","2,847","2,847"
DC,2020-09-19,127,127,127,4.51,4.51,4.51,"2,817","2,817","2,817"
DC,2020-09-20,134,134,134,4.79,4.79,4.79,"2,796","2,796","2,796"
AL,2020-08-20,"1,368","1,367","1,369",9.69,9.57,9.82,"14,128","14,101","14,155"
AR,2020-08-20,695,689,701,9.24,8.72,9.76,"7,521","7,466","7,576"
CT,2020-08-20,169,169,169,2.09,2.09,2.09,"8,080","8,080","8,080"
ID,2020-08-20,168,168,168,4.77,4.53,5.01,"3,520","3,453","3,587"
IN,2020-08-20,861,844,878,5.22,4.13,6.31,"16,137","15,839","16,435"
KS,2020-08-20,298,295,301,3.68,3.07,4.28,"7,400","7,275","7,525"
LA,2020-08-20,"1,509","1,283","1,735",11.19,0.94,21.44,"13,455","13,427","13,483"
MD,2020-08-20,875,869,881,8.74,7.94,9.53,"9,959","9,817","10,101"
MI,2020-08-20,676,668,684,3.0,2.49,3.51,"22,549","22,339","22,759"
AL,2020-08-21,"1,364","1,363","1,364",9.7,9.63,9.77,"14,071","14,054","14,088"
AR,2020-08-21,710,701,720,9.51,8.65,10.37,"7,470","7,412","7,528"
CT,2020-08-21,181,180,182,2.24,1.91,2.58,"8,073","8,001","8,145"
ID,2020-08-21,164,160,168,4.65,3.6,5.7,"3,527","3,462","3,592"
IN,2020-08-21,884,877,890,5.36,4.81,5.92,"16,116","15,858","16,374"
KS,2020-08-21,294,292,297,3.56,3.0,4.11,"7,402","7,281","7,522"
LA,2020-08-21,"1,441","1,428","1,454",10.68,10.07,11.3,"13,425","13,400","13,450"
MD,2020-08-21,803,803,803,8.02,7.88,8.15,"9,928","9,840","10,016"
MI,2020-08-21,680,673,688,3.01,2.51,3.5,"22,624","22,423","22,825"
AL,2020-08-22,"1,319","1,312","1,326",9.4,9.06,9.74,"14,046","14,010","14,082"
AR,2020-08-22,696,686,707,9.34,8.11,10.56,"7,454","7,342","7,567"
CT,2020-08-22,164,164,164,2.03,1.55,2.51,"8,072","7,939","8,205"
ID,2020-08-22,152,152,152,4.32,4.32,4.32,"3,522","3,462","3,582"
IN,2020-08-22,891,882,900,5.42,4.75,6.1,"16,070","15,810","16,330"
KS,2020-08-22,293,260,326,3.61,-1.69,8.9,"7,396","6,927","7,865"
LA,2020-08-22,"1,341","1,114","1,567",9.9,-0.96,20.77,"13,498","13,484","13,512"
MD,2020-08-22,779,759,799,7.82,3.73,11.9,"9,891","9,211","10,571"
MI,2020-08-22,672,656,687,2.97,1.94,4.0,"22,607","22,190","23,024"
AL,2020-08-23,"1,336","1,329","1,342",9.52,9.17,9.86,"14,050","14,012","14,087"
AR,2020-08-23,629,615,643,8.52,6.21,10.83,"7,381","7,135","7,627"
CT,2020-08-23,144,141,146,1.78,1.09,2.47,"8,070","7,937","8,203"
ID,2020-08-23,162,161,163,4.63,4.63,4.63,"3,501","3,442","3,560"
IN,2020-08-23,908,899,917,5.59,4.91,6.26,"15,941","15,686","16,196"
KS,2020-08-23,293,260,326,3.65,-1.6,8.9,"7,376","6,907","7,845"
LA,2020-08-23,"1,315","1,049","1,582",9.73,-3.18,22.65,"13,471","13,458","13,484"
MD,2020-08-23,720,705,736,7.29,3.37,11.21,"9,880","9,194","10,566"
MI,2020-08-23,683,676,690,3.02,2.55,3.5,"22,593","22,392","22,795"
AL,2020-08-24,"1,354","1,353","1,356",9.6,9.38,9.81,"14,115","14,070","14,161"
AR,2020-08-24,557,549,565,7.46,6.68,8.23,"7,470","7,421","7,518"
CT,2020-08-24,179,177,181,2.21,2.21,2.21,"8,070","8,070","8,070"
ID,2020-08-24,158,158,158,4.52,4.52,4.52,"3,493","3,433","3,553"
IN,2020-08-24,984,980,989,6.07,5.36,6.78,"16,223","16,003","16,443"
KS,2020-08-24,292,292,292,3.57,3.14,3.99,"7,545","7,457","7,633"
LA,2020-08-24,"1,329","1,103","1,555",9.89,-1.07,20.85,"13,386","13,277","13,496"
MD,2020-08-24,803,781,825,8.09,6.2,9.99,"9,922","9,731","10,114"
MI,2020-08-24,688,686,690,3.05,2.89,3.21,"22,577","22,489","22,666"
AL,2020-08-25,"1,355","1,347","1,363",9.59,9.18,10.0,"14,131","14,093","14,169"
AR,2020-08-25,557,554,560,7.39,7.17,7.6,"7,542","7,496","7,589"
CT,2020-08-25,172,170,174,2.14,2.14,2.14,"8,067","8,067","8,067"
ID,2020-08-25,149,149,149,4.21,3.93,4.5,"3,535","3,475","3,595"
IN,2020-08-25,940,939,941,5.79,5.23,6.36,"16,224","16,036","16,412"
KS,2020-08-25,291,275,308,3.57,0.86,6.28,"7,549","7,270","7,828"
LA,2020-08-25,"1,340","1,339","1,342",9.85,9.71,9.99,"13,488","13,462","13,514"
MD,2020-08-25,850,846,853,8.54,7.59,9.48,"9,952","9,797","10,108"
MI,2020-08-25,725,722,728,3.18,2.99,3.38,"22,784","22,682","22,887"
AL,2020-08-26,"1,262","1,260","1,263",8.95,8.54,9.35,"14,099","14,005","14,193"
AR,2020-08-26,561,556,567,7.35,6.9,7.8,"7,641","7,598","7,684"
CT,2020-08-26,167,167,167,2.07,1.82,2.32,"8,075","8,004","8,146"
ID,2020-08-26,155,155,155,4.39,4.09,4.68,"3,534","3,474","3,594"
IN,2020-08-26,876,869,882,5.39,4.71,6.08,"16,234","16,030","16,438"
KS,2020-08-26,296,280,312,3.58,0.91,6.25,"7,562","7,282","7,841"
LA,2020-08-26,"1,302","1,076","1,528",9.59,-1.48,20.66,"13,442","13,421","13,463"
MD,2020-08-26,812,795,829,8.08,4.2,11.96,"10,050","9,398","10,701"
MI,2020-08-26,712,710,714,3.11,2.97,3.25,"22,912","22,831","22,993"
AL,2020-08-27,"1,246","1,245","1,247",8.85,8.85,8.85,"14,079","14,079","14,079"
AR,2020-08-27,534,530,537,6.81,5.55,8.08,"7,832","7,642","8,021"
CT,2020-08-27,171,170,172,2.12,2.01,2.23,"8,076","8,066","8,085"
ID,2020-08-27,141,141,141,3.96,3.69,4.23,"3,560","3,501","3,619"
IN,2020-08-27,856,855,857,5.26,4.77,5.76,"16,263","16,088","16,438"
KS,2020-08-27,320,317,322,3.92,3.07,4.76,"7,566","7,413","7,720"
LA,2020-08-27,"1,252",986,"1,518",9.25,-4.08,22.58,"13,386","13,365","13,407"
MD,2020-08-27,784,784,784,7.81,7.81,7.81,"10,042","9,971","10,113"
MI,2020-08-27,670,646,694,2.93,1.38,4.48,"22,844","22,223","23,465"
AL,2020-08-28,"1,230","1,215","1,244",8.73,8.05,9.4,"14,089","14,078","14,100"
AR,2020-08-28,545,536,554,7.09,6.06,8.12,"7,684","7,599","7,770"
CT,2020-08-28,180,179,182,2.24,2.24,2.24,"8,076","8,076","8,076"
ID,2020-08-28,153,153,153,4.3,4.04,4.55,"3,562","3,503","3,621"
IN,2020-08-28,862,846,878,5.41,4.34,6.47,"15,948","15,724","16,172"
KS,2020-08-28,313,277,349,3.85,-1.63,9.33,"7,540","7,054","8,026"
LA,2020-08-28,"1,255",966,"1,543",9.3,-5.11,23.7,"13,394","13,372","13,416"
MD,2020-08-28,741,740,742,7.37,7.01,7.73,"10,059","9,994","10,124"
MI,2020-08-28,651,649,652,2.88,2.79,2.98,"22,574","22,524","22,624"
AL,2020-08-29,"1,204","1,203","1,206",8.56,8.34,8.79,"14,064","14,013","14,114"
AR,2020-08-29,493,483,503,6.48,4.74,8.23,"7,606","7,388","7,825"
CT,2020-08-29,174,174,174,2.15,1.66,2.64,"8,076","7,942","8,209"
ID,2020-08-29,156,156,156,4.38,4.16,4.61,"3,559","3,501","3,617"
IN,2020-08-29,832,808,857,5.21,3.4,7.03,"15,965","15,535","16,395"
KS,2020-08-29,300,267,333,3.67,-1.52,8.87,"7,510","7,046","7,974"
LA,2020-08-29,"1,265",969,"1,561",9.5,-5.28,24.28,"13,248","13,234","13,262"
MD,2020-08-29,701,685,717,7.1,3.36,10.84,"9,873","9,216","10,530"
MI,2020-08-29,656,650,663,2.9,2.49,3.31,"22,620","22,464","22,776"
AL,2020-08-30,"1,164","1,164","1,164",8.28,8.14,8.43,"14,052","14,018","14,087"
AR,2020-08-30,488,481,494,6.5,5.75,7.26,"7,498","7,425","7,570"
CT,2020-08-30,206,206,206,2.56,2.02,3.09,"8,060","7,927","8,194"
ID,2020-08-30,154,154,154,4.37,4.06,4.67,"3,528","3,468","3,588"
IN,2020-08-30,858,830,887,5.3,3.24,7.35,"16,203","15,716","16,691"
KS,2020-08-30,303,295,311,3.7,2.15,5.25,"7,514","7,304","7,723"
LA,2020-08-30,"1,263",974,"1,552",9.51,-4.96,23.98,"13,202","13,185","13,218"
MD,2020-08-30,714,712,716,7.24,6.99,7.49,"9,857","9,821","9,894"
MI,2020-08-30,670,663,677,2.97,2.49,3.44,"22,573","22,360","22,786"
AL,2020-08-31,"1,232","1,230","1,235",8.76,8.63,8.88,"14,070","14,058","14,082"
AR,2020-08-31,510,506,513,6.66,6.36,6.96,"7,648","7,612","7,684"
CT,2020-08-31,161,157,165,1.99,1.99,1.99,"8,071","8,071","8,071"
ID,2020-08-31,155,155,155,4.38,4.16,4.6,"3,539","3,481","3,597"
IN,2020-08-31,848,824,872,5.26,3.5,7.01,"16,132","15,723","16,540"
KS,2020-08-31,308,308,308,3.72,3.44,4.01,"7,546","7,487","7,605"
LA,2020-08-31,"1,292","1,025","1,558",9.7,-3.52,22.91,"13,211","13,105","13,316"
MD,2020-08-31,707,707,707,7.23,6.54,7.92,"9,778","9,653","9,903"
MI,2020-08-31,692,691,693,3.04,2.98,3.11,"22,742","22,697","22,787"
AL,2020-09-01,"1,186","1,172","1,200",8.43,7.74,9.13,"14,067","14,054","14,080"
AR,2020-09-01,566,562,571,7.3,6.81,7.78,"7,764","7,734","7,795"
CT,2020-09-01,158,158,158,1.96,1.92,1.99,"8,078","8,068","8,087"
ID,2020-09-01,138,138,138,3.93,3.72,4.15,"3,507","3,450","3,564"
IN,2020-09-01,888,882,894,5.5,5.07,5.93,"16,144","16,034","16,253"
KS,2020-09-01,320,318,322,3.79,3.49,4.09,"7,494","7,432","7,556"
LA,2020-09-01,"1,281","1,055","1,507",9.57,-1.68,20.81,"13,275","13,252","13,298"
MD,2020-09-01,785,776,794,7.98,6.48,9.48,"9,838","9,605","10,071"
MI,2020-09-01,697,691,703,3.04,2.41,3.66,"22,958","22,586","23,331"
AL,2020-09-02,"1,153","1,153","1,153",8.21,7.48,8.95,"14,039","13,858","14,220"
AR,2020-09-02,581,577,584,7.37,6.98,7.76,"7,880","7,846","7,913"
CT,2020-09-02,171,171,171,2.15,2.15,2.15,"7,954","7,954","7,954"
ID,2020-09-02,135,135,135,3.78,3.78,3.78,"3,570","3,517","3,623"
IN,2020-09-02,850,845,854,5.26,4.9,5.63,"16,145","16,058","16,232"
KS,2020-09-02,324,324,325,3.89,3.64,4.14,"7,498","7,432","7,564"
LA,2020-09-02,"1,272","1,259","1,286",9.46,8.78,10.15,"13,383","13,353","13,413"
MD,2020-09-02,770,770,770,7.76,7.76,7.76,"9,922","9,922","9,922"
