state,collection_date,ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total ICU Beds,Total LL,Total UL
CW,2020-08-20,"70,765","70,395","71,135",67.71,67.25,68.17,"104,105","103,580","104,630"
CW,2020-08-21,"72,414","71,904","72,923",69.78,68.61,70.95,"103,375","102,705","104,046"
CW,2020-08-22,"69,196","68,761","69,632",67.42,66.5,68.33,"102,211","101,601","102,821"
CW,2020-08-23,"67,487","67,055","67,918",65.96,65.01,66.9,"101,869","101,244","102,493"
CW,2020-08-24,"67,729","67,359","68,099",65.94,65.14,66.74,"102,257","101,703","102,810"
CW,2020-08-25,"70,165","69,847","70,483",67.84,67.25,68.44,"102,982","102,490","103,474"
CW,2020-08-26,"71,178","70,857","71,499",68.34,67.34,69.34,"103,495","102,999","103,991"
CW,2020-08-27,"71,826","71,526","72,126",68.69,67.7,69.68,"103,875","103,402","104,347"
CW,2020-08-28,"71,299","70,987","71,611",68.34,67.33,69.35,"103,703","103,232","104,173"
CW,2020-08-29,"69,897","69,547","70,247",66.63,65.49,67.76,"104,280","103,771","104,790"
CW,2020-08-30,"68,360","68,018","68,703",65.21,64.1,66.32,"104,229","103,726","104,732"
CW,2020-08-31,"67,994","67,728","68,259",64.97,64.1,65.84,"104,057","103,654","104,460"
CW,2020-09-01,"70,877","70,641","71,113",67.52,66.73,68.32,"104,364","103,985","104,744"
CW,2020-09-02,"71,382","71,254","71,509",67.96,67.56,68.36,"104,421","104,218","104,624"
CW,2020-09-03,"71,144","71,007","71,282",67.56,67.16,67.97,"104,687","104,495","104,879"
CW,2020-09-04,"70,872","70,689","71,056",67.39,66.86,67.92,"104,547","104,318","104,777"
CW,2020-09-05,"69,566","69,358","69,773",66.27,65.68,66.87,"104,348","104,096","104,601"
CW,2020-09-06,"67,619","67,354","67,885",64.55,63.73,65.36,"104,179","103,828","104,530"
CW,2020-09-07,"66,808","66,612","67,003",63.79,63.2,64.37,"104,173","103,916","104,430"
CW,2020-09-08,"67,529","67,366","67,692",64.49,64.01,64.98,"104,135","103,916","104,354"
