County,Positivity,fips,state,stateiso
Aitkin,2.0,27001,Minnesota,MN
Anoka,6.6,27003,Minnesota,MN
Becker,2.0,27005,Minnesota,MN
Beltrami,3.6,27007,Minnesota,MN
Benton,5.0,27009,Minnesota,MN
Big Stone,3.0,27011,Minnesota,MN
Blue Earth,6.0,27013,Minnesota,MN
Brown,3.0,27015,Minnesota,MN
Carlton,2.3,27017,Minnesota,MN
Carver,6.7,27019,Minnesota,MN
Cass,2.2,27021,Minnesota,MN
Chippewa,3.9,27023,Minnesota,MN
Chisago,2.1,27025,Minnesota,MN
Clay,6.0,27027,Minnesota,MN
Clearwater,1.6,27029,Minnesota,MN
Cook,1.0,27031,Minnesota,MN
Cottonwood,8.7,27033,Minnesota,MN
Crow Wing,2.7,27035,Minnesota,MN
Dakota,6.6,27037,Minnesota,MN
Dodge,2.7,27039,Minnesota,MN
Douglas,2.3,27041,Minnesota,MN
Faribault,3.7,27043,Minnesota,MN
Fillmore,2.2,27045,Minnesota,MN
Freeborn,5.3,27047,Minnesota,MN
Goodhue,1.9,27049,Minnesota,MN
Grant,5.4,27051,Minnesota,MN
Hennepin,7.9,27053,Minnesota,MN
Houston,2.5,27055,Minnesota,MN
Hubbard,1.3,27057,Minnesota,MN
Isanti,2.7,27059,Minnesota,MN
Itasca,2.1,27061,Minnesota,MN
Jackson,6.9,27063,Minnesota,MN
Kanabec,2.6,27065,Minnesota,MN
Kandiyohi,6.0,27067,Minnesota,MN
Kittson,0.6,27069,Minnesota,MN
Koochiching,4.2,27071,Minnesota,MN
Lac qui Parle,1.5,27073,Minnesota,MN
Lake,2.1,27075,Minnesota,MN
Lake of the Woods,1.5,27077,Minnesota,MN
Le Sueur,5.2,27079,Minnesota,MN
Lincoln,6.1,27081,Minnesota,MN
Lyon,8.5,27083,Minnesota,MN
Mahnomen,2.4,27087,Minnesota,MN
Marshall,2.2,27089,Minnesota,MN
Martin,4.3,27091,Minnesota,MN
McLeod,4.0,27085,Minnesota,MN
Meeker,3.5,27093,Minnesota,MN
Mille Lacs,2.2,27095,Minnesota,MN
Morrison,2.1,27097,Minnesota,MN
Mower,7.0,27099,Minnesota,MN
Murray,9.0,27101,Minnesota,MN
Nicollet,4.7,27103,Minnesota,MN
Nobles,29.3,27105,Minnesota,MN
Norman,2.2,27107,Minnesota,MN
Olmsted,4.4,27109,Minnesota,MN
Otter Tail,1.7,27111,Minnesota,MN
Pennington,3.0,27113,Minnesota,MN
Pine,3.1,27115,Minnesota,MN
Pipestone,6.9,27117,Minnesota,MN
Polk,2.0,27119,Minnesota,MN
Pope,2.8,27121,Minnesota,MN
Ramsey,7.6,27123,Minnesota,MN
Red Lake,4.0,27125,Minnesota,MN
Redwood,1.9,27127,Minnesota,MN
Renville,2.9,27129,Minnesota,MN
Rice,4.6,27131,Minnesota,MN
Rock,5.7,27133,Minnesota,MN
Roseau,3.3,27135,Minnesota,MN
Scott,6.4,27139,Minnesota,MN
Sherburne,4.0,27141,Minnesota,MN
Sibley,5.3,27143,Minnesota,MN
St. Louis,1.9,27137,Minnesota,MN
Stearns,8.9,27145,Minnesota,MN
Steele,4.1,27147,Minnesota,MN
Stevens,1.4,27149,Minnesota,MN
Swift,3.9,27151,Minnesota,MN
Todd,9.7,27153,Minnesota,MN
Traverse,2.5,27155,Minnesota,MN
Wabasha,2.3,27157,Minnesota,MN
Wadena,1.1,27159,Minnesota,MN
Waseca,3.8,27161,Minnesota,MN
Washington,4.6,27163,Minnesota,MN
Watonwan,12.2,27165,Minnesota,MN
Wilkin,3.9,27167,Minnesota,MN
Winona,2.7,27169,Minnesota,MN
Wright,4.9,27171,Minnesota,MN
Yellow Medicine,4.6,27173,Minnesota,MN
