County,Positive,fips,state,stateiso
Aitkin,2.9,27001,Minnesota,MN
Anoka,6.3,27003,Minnesota,MN
Becker,2.0,27005,Minnesota,MN
Beltrami,3.5,27007,Minnesota,MN
Benton,5.2,27009,Minnesota,MN
Big Stone,3.9,27011,Minnesota,MN
Blue Earth,6.3,27013,Minnesota,MN
Brown,3.1,27015,Minnesota,MN
Carlton,2.4,27017,Minnesota,MN
Carver,6.3,27019,Minnesota,MN
Cass,2.4,27021,Minnesota,MN
Chippewa,4.2,27023,Minnesota,MN
Chisago,2.9,27025,Minnesota,MN
Clay,6.2,27027,Minnesota,MN
Clearwater,1.8,27029,Minnesota,MN
Cook,0.7,27031,Minnesota,MN
Cottonwood,6.7,27033,Minnesota,MN
Crow Wing,3.1,27035,Minnesota,MN
Dakota,6.5,27037,Minnesota,MN
Dodge,2.9,27039,Minnesota,MN
Douglas,2.8,27041,Minnesota,MN
Faribault,3.7,27043,Minnesota,MN
Fillmore,2.2,27045,Minnesota,MN
Freeborn,4.8,27047,Minnesota,MN
Goodhue,2.2,27049,Minnesota,MN
Grant,4.4,27051,Minnesota,MN
Hennepin,7.2,27053,Minnesota,MN
Houston,2.8,27055,Minnesota,MN
Hubbard,1.6,27057,Minnesota,MN
Isanti,3.1,27059,Minnesota,MN
Itasca,2.4,27061,Minnesota,MN
Jackson,6.4,27063,Minnesota,MN
Kanabec,3.7,27065,Minnesota,MN
Kandiyohi,5.5,27067,Minnesota,MN
Kittson,2.5,27069,Minnesota,MN
Koochiching,3.7,27071,Minnesota,MN
Lac qui Parle,3.6,27073,Minnesota,MN
Lake,2.7,27075,Minnesota,MN
Lake of the Woods,3.0,27077,Minnesota,MN
Le Sueur,5.8,27079,Minnesota,MN
Lincoln,6.4,27081,Minnesota,MN
Lyon,10.1,27083,Minnesota,MN
Mahnomen,2.5,27087,Minnesota,MN
Marshall,2.8,27089,Minnesota,MN
Martin,4.5,27091,Minnesota,MN
McLeod,4.5,27085,Minnesota,MN
Meeker,4.0,27093,Minnesota,MN
Mille Lacs,2.7,27095,Minnesota,MN
Morrison,2.5,27097,Minnesota,MN
Mower,6.5,27099,Minnesota,MN
Murray,7.8,27101,Minnesota,MN
Nicollet,4.5,27103,Minnesota,MN
Nobles,26.3,27105,Minnesota,MN
Norman,2.3,27107,Minnesota,MN
Olmsted,4.3,27109,Minnesota,MN
Otter Tail,2.0,27111,Minnesota,MN
Pennington,3.6,27113,Minnesota,MN
Pine,3.3,27115,Minnesota,MN
Pipestone,7.2,27117,Minnesota,MN
Polk,2.1,27119,Minnesota,MN
Pope,3.0,27121,Minnesota,MN
Ramsey,6.9,27123,Minnesota,MN
Red Lake,4.6,27125,Minnesota,MN
Redwood,3.0,27127,Minnesota,MN
Renville,3.2,27129,Minnesota,MN
Rice,3.9,27131,Minnesota,MN
Rock,6.3,27133,Minnesota,MN
Roseau,3.7,27135,Minnesota,MN
Scott,6.2,27139,Minnesota,MN
Sherburne,4.0,27141,Minnesota,MN
Sibley,5.3,27143,Minnesota,MN
St. Louis,2.4,27137,Minnesota,MN
Stearns,8.2,27145,Minnesota,MN
Steele,4.4,27147,Minnesota,MN
Stevens,3.2,27149,Minnesota,MN
Swift,4.5,27151,Minnesota,MN
Todd,8.0,27153,Minnesota,MN
Traverse,2.8,27155,Minnesota,MN
Wabasha,2.7,27157,Minnesota,MN
Wadena,1.6,27159,Minnesota,MN
Waseca,5.3,27161,Minnesota,MN
Washington,4.8,27163,Minnesota,MN
Watonwan,10.9,27165,Minnesota,MN
Wilkin,4.6,27167,Minnesota,MN
Winona,4.3,27169,Minnesota,MN
Wright,5.3,27171,Minnesota,MN
Yellow Medicine,5.8,27173,Minnesota,MN
