0,1,2,3
County,% Positive,County,% Positive
Aitkin,2.9%,Martin,4.5%
Anoka,6.3%,McLeod,4.5%
"Becker
26.3%",2.0%,Meeker,4.0%
Beltrami,3.5%,Mille Lacs,2.7%
Benton,5.2%,Morrison,2.5%
Big Stone,3.9%,Mower,6.5%
Blue Earth,6.3%,Murray,7.8%
Brown,3.1%,Nicollet,4.5%
Carlton,2.4%,Nobles,26.3%
Carver,6.3%,Norman,2.3%
Cass,2.4%,Olmsted,4.3%
Chippewa,4.2%,Otter Tail,2.0%
Chisago,2.9%,Pennington,3.6%
Clay,6.2%,Pine,3.3%
Clearwater,1.8%,Pipestone,7.2%
Cook,0.7%,Polk,2.1%
Cottonwood,6.7%,Pope,3.0%
Crow Wing,3.1%,Ramsey,6.9%
Dakota,6.5%,Red Lake,4.6%
Dodge,2.9%,Redwood,3.0%
Douglas,2.8%,Renville,3.2%
Faribault,3.7%,Rice,3.9%
Fillmore,2.2%,Rock,6.3%
Freeborn,4.8%,Roseau,3.7%
Goodhue,2.2%,Scott,6.2%
Grant,4.4%,Sherburne,4.0%
Hennepin,7.2%,Sibley,5.3%
Houston,2.8%,St. Louis,2.4%
Hubbard,1.6%,Stearns,8.2%
Isanti,3.1%,Steele,4.4%
Itasca,2.4%,Stevens,3.2%
Jackson,6.4%,Swift,4.5%
Kanabec,3.7%,Todd,8.0%
Kandiyohi,5.5%,Traverse,2.8%
Kittson,2.5%,Wabasha,2.7%
Koochiching,3.7%,Wadena,1.6%
Lac qui Parle,3.6%,Waseca,5.3%
Lake,2.7%,Washington,4.8%
Lake of the Woods,3.0%,Watonwan,10.9%
Le Sueur,5.8%,Wilkin,4.6%
Lincoln,6.4%,Winona,4.3%
Lyon,10.1%,Wright,5.3%
Mahnomen,2.5%,Yellow Medicine,5.8%
Marshall,2.8%,Unknown/missing,0.6%
