lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive,Positivity_pcr_tests,Positivity_tot_tests,Positivity_pcr_7day
2020-08-02,Rappahannock,437,31,458,32,0.07094,0.06987,0.07094
2020-08-02,Piedmont,73,3,77,3,0.0411,0.03896,0.0411
2020-08-02,Pittsylvania-Danville,210,14,213,14,0.06667,0.06573,0.06667
2020-08-02,Portsmouth,361,45,362,45,0.12465,0.12431,0.12465
2020-08-02,Prince William,798,72,828,75,0.09023,0.09058,0.09023
2020-08-02,Rappahannock Rapidan,205,9,214,12,0.0439,0.05607,0.0439
2020-08-02,Richmond,174,16,186,17,0.09195,0.0914,0.09195
2020-08-02,Norfolk,602,68,609,68,0.11296,0.11166,0.11296
2020-08-02,Roanoke,331,15,354,17,0.04532,0.04802,0.04532
2020-08-02,Thomas Jefferson,356,24,365,24,0.06742,0.06575,0.06742
2020-08-02,Three Rivers,191,12,195,12,0.06283,0.06154,0.06283
2020-08-02,Virginia Beach,1090,82,1113,84,0.07523,0.07547,0.07523
2020-08-02,Western Tidewater,350,56,357,57,0.16,0.15966,0.16
2020-08-02,West Piedmont,155,18,161,19,0.11613,0.11801,0.11613
2020-08-02,Alexandria,232,11,245,11,0.04741,0.0449,0.04741
2020-08-02,Southside,76,6,76,6,0.07895,0.07895,0.07895
2020-08-02,New River,100,6,109,7,0.06,0.06422,0.06
2020-08-02,Peninsula,586,49,603,50,0.08362,0.08292,0.08362
2020-08-02,Loudoun,406,30,443,34,0.07389,0.07675,0.07389
2020-08-02,Alleghany,188,6,193,6,0.03191,0.03109,0.03191
2020-08-02,Arlington,515,22,540,23,0.04272,0.04259,0.04272
2020-08-02,Central Shenandoah,222,8,234,9,0.03604,0.03846,0.03604
2020-08-02,Central Virginia,602,57,615,57,0.09468,0.09268,0.09468
2020-08-02,Chesapeake,409,54,421,55,0.13203,0.13064,0.13203
2020-08-02,Chesterfield,317,35,353,37,0.11041,0.10482,0.11041
2020-08-02,Mount Rogers,201,19,205,19,0.09453,0.09268,0.09453
2020-08-02,Crater,185,8,196,11,0.04324,0.05612,0.04324
2020-08-02,Chickahominy,125,8,128,9,0.064,0.07031,0.064
2020-08-02,Eastern Shore,88,4,89,4,0.04545,0.04494,0.04545
2020-08-02,Fairfax,1569,84,1699,99,0.05354,0.05827,0.05354
2020-08-02,Hampton,227,19,228,19,0.0837,0.08333,0.0837
2020-08-02,Henrico,365,32,382,34,0.08767,0.08901,0.08767
2020-08-02,Lenowisco,129,11,133,13,0.08527,0.09774,0.08527
2020-08-02,Lord Fairfax,367,7,373,7,0.01907,0.01877,0.01907
2020-08-02,Cumberland Plateau,72,3,72,3,0.04167,0.04167,0.04167
2020-08-03,Hampton,162,18,163,18,0.11111,0.11043,0.0974
2020-08-03,Chickahominy,240,12,241,13,0.05,0.05394,0.057
2020-08-03,Fairfax,1923,67,1974,72,0.03484,0.03647,0.04419
2020-08-03,Eastern Shore,40,0,42,0,0.0,0.0,0.02272
2020-08-03,Cumberland Plateau,129,27,129,27,0.2093,0.2093,0.12549
2020-08-03,Crater,255,22,255,22,0.08627,0.08627,0.06476
2020-08-03,Chesterfield,726,56,729,59,0.07713,0.08093,0.09377
2020-08-03,West Piedmont,108,8,108,8,0.07407,0.07407,0.0951
2020-08-03,Central Virginia,214,16,214,16,0.07477,0.07477,0.08472
2020-08-03,Central Shenandoah,231,14,233,14,0.06061,0.06009,0.04832
2020-08-03,Arlington,395,18,407,19,0.04557,0.04668,0.04415
2020-08-03,Alleghany,117,6,117,6,0.05128,0.05128,0.0416
2020-08-03,Alexandria,248,9,255,9,0.03629,0.03529,0.04185
2020-08-03,Western Tidewater,255,45,255,45,0.17647,0.17647,0.16823
2020-08-03,Henrico,900,55,907,62,0.06111,0.06836,0.07439
2020-08-03,Chesapeake,337,43,337,43,0.1276,0.1276,0.12982
2020-08-03,Lenowisco,40,5,41,5,0.125,0.12195,0.10514
2020-08-03,Rappahannock,498,36,499,36,0.07229,0.07214,0.07161
2020-08-03,Loudoun,579,24,590,26,0.04145,0.04407,0.05767
2020-08-03,Lord Fairfax,256,6,257,6,0.02344,0.02335,0.02125
2020-08-03,Three Rivers,195,6,196,6,0.03077,0.03061,0.0468
2020-08-03,Thomas Jefferson,375,18,382,18,0.048,0.04712,0.05771
2020-08-03,Southside,53,5,53,5,0.09434,0.09434,0.08664
2020-08-03,Roanoke,383,8,385,8,0.02089,0.02078,0.0331
2020-08-03,Richmond,447,37,447,37,0.08277,0.08277,0.08736
2020-08-03,Rappahannock Rapidan,145,10,146,10,0.06897,0.06849,0.05643
2020-08-03,Virginia Beach,803,55,805,57,0.06849,0.07081,0.07186
2020-08-03,Portsmouth,212,28,212,28,0.13208,0.13208,0.12837
2020-08-03,Pittsylvania-Danville,184,78,184,78,0.42391,0.42391,0.24529
2020-08-03,Piedmont,68,3,69,4,0.04412,0.05797,0.04261
2020-08-03,Peninsula,484,27,484,27,0.05579,0.05579,0.06971
2020-08-03,Norfolk,547,53,547,53,0.09689,0.09689,0.10493
2020-08-03,New River,170,20,170,20,0.11765,0.11765,0.08883
2020-08-03,Mount Rogers,170,17,178,24,0.1,0.13483,0.09727
2020-08-03,Prince William,877,77,889,80,0.0878,0.08999,0.08902
2020-08-04,Lenowisco,108,9,111,9,0.08333,0.08108,0.09787
2020-08-04,Henrico,486,39,500,43,0.08025,0.086,0.07634
2020-08-04,Hampton,129,10,133,10,0.07752,0.07519,0.09078
2020-08-04,Fairfax,1186,63,1287,78,0.05312,0.06061,0.04717
