lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive
Not Reported,Alexandria,165,36,199,42
Not Reported,Alleghany,8,3,8,3
Not Reported,Arlington,636,73,708,92
Not Reported,Central Shenandoah,221,59,227,59
Not Reported,Central Virginia,154,8,161,9
Not Reported,Chesapeake,179,19,180,19
Not Reported,Chesterfield,543,234,584,251
Not Reported,Chickahominy,125,78,128,80
Not Reported,Crater,261,91,271,98
Not Reported,Cumberland Plateau,15,15,34,34
Not Reported,Eastern Shore,266,2,266,2
Not Reported,Fairfax,1340,374,1657,445
Not Reported,Hampton,137,15,138,16
Not Reported,Henrico,595,329,617,342
Not Reported,Lenowisco,11,8,25,22
Not Reported,Lord Fairfax,91,21,131,25
Not Reported,Loudoun,994,129,1260,181
Not Reported,Mount Rogers,25,20,32,26
Not Reported,New River,11,5,12,5
Not Reported,Norfolk,119,9,122,9
Not Reported,Out of State,27,17,47,36
Not Reported,Peninsula,412,71,415,71
Not Reported,Piedmont,87,34,93,36
Not Reported,Pittsylvania-Danville,25,8,25,8
Not Reported,Portsmouth,50,8,50,8
Not Reported,Prince William,1149,273,1263,334
Not Reported,Rappahannock,482,161,514,185
Not Reported,Rappahannock Rapidan,154,41,205,54
Not Reported,Richmond,355,192,369,202
Not Reported,Roanoke,6,5,6,5
Not Reported,Southside,53,21,54,21
Not Reported,Thomas Jefferson,114,20,134,23
Not Reported,Three Rivers,124,51,139,55
Not Reported,Unknown,367,114,376,120
Not Reported,Virginia Beach,445,22,457,24
Not Reported,Western Tidewater,130,27,130,27
Not Reported,West Piedmont,76,65,79,65
8/9/2020,Alexandria,279,16,291,16
8/9/2020,Alleghany,89,2,89,2
8/9/2020,Arlington,397,20,420,21
8/9/2020,Central Shenandoah,372,15,384,16
8/9/2020,Central Virginia,392,38,399,38
8/9/2020,Chesapeake,428,62,442,68
8/9/2020,Chesterfield,587,44,626,49
8/9/2020,Chickahominy,182,11,198,12
8/9/2020,Crater,314,65,320,66
8/9/2020,Cumberland Plateau,73,7,77,7
8/9/2020,Eastern Shore,48,3,48,3
8/9/2020,Fairfax,1594,106,1678,118
8/9/2020,Hampton,316,30,321,30
8/9/2020,Henrico,501,47,533,52
8/9/2020,Lenowisco,170,24,171,24
8/9/2020,Lord Fairfax,351,16,358,16
8/9/2020,Loudoun,546,41,592,47
8/9/2020,Mount Rogers,212,14,216,14
8/9/2020,New River,91,3,92,3
8/9/2020,Norfolk,543,41,545,41
8/9/2020,Out of State,306,10,306,10
8/9/2020,Peninsula,598,47,607,48
8/9/2020,Piedmont,140,8,146,8
8/9/2020,Pittsylvania-Danville,156,13,156,13
8/9/2020,Portsmouth,283,36,284,36
8/9/2020,Prince William,577,45,611,50
8/9/2020,Rappahannock,411,36,446,40
8/9/2020,Rappahannock Rapidan,198,7,211,12
8/9/2020,Richmond,235,26,248,30
8/9/2020,Roanoke,986,56,997,56
8/9/2020,Southside,128,12,131,12
8/9/2020,Thomas Jefferson,309,25,315,25
8/9/2020,Three Rivers,197,13,206,13
8/9/2020,Unknown,419,3,419,3
8/9/2020,Virginia Beach,887,51,908,51
8/9/2020,Western Tidewater,301,41,307,41
8/9/2020,West Piedmont,122,15,127,16
8/8/2020,Alexandria,351,19,373,21
8/8/2020,Alleghany,140,3,146,4
8/8/2020,Arlington,484,15,522,16
8/8/2020,Central Shenandoah,305,8,316,8
8/8/2020,Central Virginia,487,38,490,40
8/8/2020,Chesapeake,519,66,540,68
8/8/2020,Chesterfield,662,34,694,35
8/8/2020,Chickahominy,252,10,272,10
8/8/2020,Crater,295,30,303,32
8/8/2020,Cumberland Plateau,78,16,81,16
8/8/2020,Eastern Shore,80,3,82,3
8/8/2020,Fairfax,2317,107,2487,123
8/8/2020,Hampton,265,23,273,23
8/8/2020,Henrico,774,47,805,52
8/8/2020,Lenowisco,113,18,118,20
8/8/2020,Lord Fairfax,378,6,392,6
8/8/2020,Loudoun,704,37,752,43
8/8/2020,Mount Rogers,249,15,252,15
8/8/2020,New River,114,5,121,6
8/8/2020,Norfolk,481,36,491,37
8/8/2020,Out of State,274,15,274,15
8/8/2020,Peninsula,1193,32,1213,35
8/8/2020,Piedmont,102,2,105,2
8/8/2020,Pittsylvania-Danville,187,17,189,17
8/8/2020,Portsmouth,385,46,388,47
8/8/2020,Prince William,820,58,865,63
8/8/2020,Rappahannock,511,39,539,44
8/8/2020,Rappahannock Rapidan,195,12,207,14
8/8/2020,Richmond,480,39,500,39
8/8/2020,Roanoke,590,20,602,20
8/8/2020,Southside,136,9,138,10
8/8/2020,Thomas Jefferson,350,13,362,14
8/8/2020,Three Rivers,268,20,277,22
8/8/2020,Unknown,62,6,62,6
8/8/2020,Virginia Beach,846,75,868,78
8/8/2020,Western Tidewater,402,33,408,33
8/8/2020,West Piedmont,169,22,170,22
8/7/2020,Alexandria,268,16,311,21
8/7/2020,Alleghany,312,8,323,10
8/7/2020,Arlington,438,20,481,23
8/7/2020,Central Shenandoah,612,27,624,28
8/7/2020,Central Virginia,639,68,649,68
8/7/2020,Chesapeake,551,53,567,55
8/7/2020,Chesterfield,766,103,811,112
8/7/2020,Chickahominy,307,13,326,13
8/7/2020,Crater,364,40,369,40
8/7/2020,Cumberland Plateau,146,7,147,7
8/7/2020,Eastern Shore,84,8,86,8
8/7/2020,Fairfax,1551,89,1735,104
8/7/2020,Hampton,185,14,188,14
8/7/2020,Henrico,915,104,943,110
8/7/2020,Lenowisco,163,29,170,29
8/7/2020,Lord Fairfax,330,25,345,27
8/7/2020,Loudoun,589,29,628,31
8/7/2020,Mount Rogers,396,31,406,33
8/7/2020,New River,314,10,338,28
8/7/2020,Norfolk,503,50,517,53
8/7/2020,Out of State,624,36,636,36
8/7/2020,Peninsula,568,36,579,37
8/7/2020,Piedmont,166,8,173,11
8/7/2020,Pittsylvania-Danville,273,56,279,56
8/7/2020,Portsmouth,243,29,246,29
8/7/2020,Prince William,840,71,886,76
8/7/2020,Rappahannock,478,32,506,34
8/7/2020,Rappahannock Rapidan,252,14,269,18
8/7/2020,Richmond,614,82,627,83
8/7/2020,Roanoke,927,55,937,56
8/7/2020,Southside,106,8,112,11
8/7/2020,Thomas Jefferson,672,38,688,40
8/7/2020,Three Rivers,153,22,161,23
8/7/2020,Unknown,119,6,119,6
8/7/2020,Virginia Beach,810,84,838,87
8/7/2020,Western Tidewater,339,47,348,47
8/7/2020,West Piedmont,236,40,245,45
8/6/2020,Alexandria,295,19,324,19
8/6/2020,Alleghany,233,10,240,13
8/6/2020,Arlington,510,24,558,27
8/6/2020,Central Shenandoah,343,16,352,16
8/6/2020,Central Virginia,1002,50,1007,50
8/6/2020,Chesapeake,516,86,527,86
8/6/2020,Chesterfield,677,61,720,71
8/6/2020,Chickahominy,144,12,155,13
8/6/2020,Crater,485,44,488,44
8/6/2020,Cumberland Plateau,130,9,133,10
8/6/2020,Eastern Shore,103,4,103,4
8/6/2020,Fairfax,2063,95,2250,122
8/6/2020,Hampton,249,31,251,31
8/6/2020,Henrico,536,42,551,48
8/6/2020,Lenowisco,77,16,78,16
8/6/2020,Lord Fairfax,291,11,305,14
8/6/2020,Loudoun,665,41,737,47
8/6/2020,Mount Rogers,235,27,251,30
8/6/2020,New River,171,12,171,12
8/6/2020,Norfolk,467,54,480,57
8/6/2020,Out of State,511,27,516,30
8/6/2020,Peninsula,668,48,674,48
8/6/2020,Piedmont,197,17,203,17
8/6/2020,Pittsylvania-Danville,357,16,362,17
8/6/2020,Portsmouth,183,37,183,37
8/6/2020,Prince William,955,87,1020,96
8/6/2020,Rappahannock,489,48,523,51
8/6/2020,Rappahannock Rapidan,217,16,249,30
8/6/2020,Richmond,349,29,360,30
8/6/2020,Roanoke,474,13,487,15
8/6/2020,Southside,264,9,268,10
8/6/2020,Thomas Jefferson,513,32,530,33
8/6/2020,Three Rivers,223,17,227,17
8/6/2020,Unknown,39,4,40,5
8/6/2020,Virginia Beach,746,87,779,89
8/6/2020,Western Tidewater,378,42,381,42
8/6/2020,West Piedmont,197,20,202,21
8/5/2020,Alexandria,271,14,322,25
8/5/2020,Alleghany,177,5,187,5
8/5/2020,Arlington,383,15,452,19
8/5/2020,Central Shenandoah,646,17,661,18
8/5/2020,Central Virginia,620,66,632,66
8/5/2020,Chesapeake,528,64,566,69
8/5/2020,Chesterfield,617,33,655,36
8/5/2020,Chickahominy,232,10,246,13
8/5/2020,Crater,249,30,268,34
8/5/2020,Cumberland Plateau,72,6,78,7
8/5/2020,Eastern Shore,88,4,92,4
8/5/2020,Fairfax,1609,72,1901,99
8/5/2020,Hampton,263,25,272,27
8/5/2020,Henrico,873,44,904,52
8/5/2020,Lenowisco,151,28,159,30
8/5/2020,Lord Fairfax,373,14,391,17
8/5/2020,Loudoun,597,18,678,22
8/5/2020,Mount Rogers,251,35,268,44
8/5/2020,New River,349,17,354,17
8/5/2020,Norfolk,839,74,855,76
8/5/2020,Out of State,501,32,507,32
8/5/2020,Peninsula,684,65,709,66
