lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive
Not Reported,Alexandria,172,36,206,42
Not Reported,Alleghany,9,3,9,3
Not Reported,Arlington,660,73,733,93
Not Reported,Central Shenandoah,198,35,205,36
Not Reported,Central Virginia,158,8,165,9
Not Reported,Chesapeake,183,20,184,20
Not Reported,Chesterfield,560,234,601,251
Not Reported,Chickahominy,127,78,130,80
Not Reported,Crater,280,91,290,98
Not Reported,Cumberland Plateau,15,15,34,34
Not Reported,Eastern Shore,269,2,269,2
Not Reported,Fairfax,1414,376,1733,449
Not Reported,Hampton,142,16,143,17
Not Reported,Henrico,600,329,625,345
Not Reported,Lenowisco,10,7,25,22
Not Reported,Lord Fairfax,91,21,131,25
Not Reported,Loudoun,999,129,1270,186
Not Reported,Mount Rogers,22,17,30,24
Not Reported,New River,11,5,12,5
Not Reported,Norfolk,121,9,124,9
Not Reported,Out of State,25,15,45,34
Not Reported,Peninsula,421,72,424,72
Not Reported,Piedmont,89,34,95,36
Not Reported,Pittsylvania-Danville,26,9,26,9
Not Reported,Portsmouth,50,8,50,8
Not Reported,Prince William,1178,274,1298,341
Not Reported,Rappahannock,489,160,521,184
Not Reported,Rappahannock Rapidan,154,41,206,55
Not Reported,Richmond,357,192,372,203
Not Reported,Roanoke,6,5,6,5
Not Reported,Southside,53,21,54,21
Not Reported,Thomas Jefferson,120,21,140,24
Not Reported,Three Rivers,129,53,144,57
Not Reported,Unknown,367,114,376,120
Not Reported,Virginia Beach,456,23,468,25
Not Reported,Western Tidewater,131,27,131,27
Not Reported,West Piedmont,79,66,82,66
9/2/2020,Alexandria,134,2,146,2
9/2/2020,Alleghany,161,11,183,11
9/2/2020,Arlington,196,6,220,9
9/2/2020,Central Shenandoah,212,25,217,25
9/2/2020,Central Virginia,845,52,854,53
9/2/2020,Chesapeake,229,26,238,27
9/2/2020,Chesterfield,417,43,464,43
9/2/2020,Chickahominy,139,15,146,15
9/2/2020,Crater,206,17,214,18
9/2/2020,Cumberland Plateau,55,1,58,1
9/2/2020,Eastern Shore,43,2,44,2
9/2/2020,Fairfax,815,70,949,82
9/2/2020,Hampton,118,10,123,10
9/2/2020,Henrico,456,27,488,30
9/2/2020,Lenowisco,135,8,136,8
9/2/2020,Lord Fairfax,153,6,154,6
9/2/2020,Loudoun,335,42,369,52
9/2/2020,Mount Rogers,179,21,193,31
9/2/2020,New River,217,28,229,28
9/2/2020,Norfolk,305,18,315,18
9/2/2020,Out of State,149,9,154,9
9/2/2020,Peninsula,293,18,307,20
9/2/2020,Piedmont,151,12,156,12
9/2/2020,Pittsylvania-Danville,221,34,223,34
9/2/2020,Portsmouth,103,11,108,12
9/2/2020,Prince William,414,44,457,52
9/2/2020,Rappahannock,332,29,349,31
9/2/2020,Rappahannock Rapidan,177,14,183,14
9/2/2020,Richmond,254,30,280,30
9/2/2020,Roanoke,97,7,106,7
9/2/2020,Southside,101,10,101,10
9/2/2020,Thomas Jefferson,450,29,458,29
9/2/2020,Three Rivers,171,15,178,15
9/2/2020,Unknown,12,1,12,1
9/2/2020,Virginia Beach,506,34,522,39
9/2/2020,Western Tidewater,236,33,238,33
9/2/2020,West Piedmont,129,18,132,18
9/1/2020,Alexandria,195,12,208,13
9/1/2020,Alleghany,72,3,83,3
9/1/2020,Arlington,252,10,275,13
9/1/2020,Central Shenandoah,171,21,174,21
9/1/2020,Central Virginia,211,31,212,31
9/1/2020,Chesapeake,205,12,214,14
9/1/2020,Chesterfield,386,13,408,15
9/1/2020,Chickahominy,148,9,154,9
9/1/2020,Crater,181,16,186,16
9/1/2020,Cumberland Plateau,48,0,48,0
9/1/2020,Eastern Shore,16,0,16,0
9/1/2020,Fairfax,1148,52,1269,61
9/1/2020,Hampton,93,6,93,6
9/1/2020,Henrico,1264,55,1295,56
9/1/2020,Lenowisco,52,11,56,12
9/1/2020,Lord Fairfax,444,12,447,12
9/1/2020,Loudoun,343,17,370,20
9/1/2020,Mount Rogers,122,13,161,51
9/1/2020,New River,458,81,471,81
9/1/2020,Norfolk,299,23,302,23
9/1/2020,Out of State,304,13,314,13
9/1/2020,Peninsula,342,24,346,24
9/1/2020,Piedmont,59,3,61,3
9/1/2020,Pittsylvania-Danville,57,13,57,13
9/1/2020,Portsmouth,105,10,105,10
