lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive,Positivity_pcr_tests,Positivity_tot_tests,Positivity_pcr_7day,CityCounty,CountyFIPS
2020-08-26,Alexandria,391,14,411,14,0.03581,0.03406,0.03581,Alexandria,51510
2020-08-27,Lenowisco,181,8,191,11,0.0442,0.05759,0.0442,Lee,51105
2020-08-27,Lenowisco,181,8,191,11,0.0442,0.05759,0.0442,Norton,51720
2020-08-27,Lenowisco,181,8,191,11,0.0442,0.05759,0.0442,Scott,51169
2020-08-27,Lenowisco,181,8,191,11,0.0442,0.05759,0.0442,Wise,51195
2020-08-27,Henrico,765,55,902,62,0.0719,0.06874,0.0719,Henrico,51087
2020-08-27,Hampton,151,15,156,16,0.09934,0.10256,0.09934,Hampton,51650
2020-08-27,Fairfax,1706,93,1915,106,0.05451,0.05535,0.05451,Fairfax,51059
2020-08-27,Fairfax,1706,93,1915,106,0.05451,0.05535,0.05451,Fairfax City,51600
2020-08-27,Fairfax,1706,93,1915,106,0.05451,0.05535,0.05451,Falls Church,51610
2020-08-27,Eastern Shore,85,3,87,3,0.03529,0.03448,0.03529,Accomack,51001
2020-08-27,Eastern Shore,85,3,87,3,0.03529,0.03448,0.03529,Northampton,51131
2020-08-27,Cumberland Plateau,64,2,70,2,0.03125,0.02857,0.03125,Buchanan,51027
2020-08-27,Cumberland Plateau,64,2,70,2,0.03125,0.02857,0.03125,Dickenson,51051
2020-08-27,Cumberland Plateau,64,2,70,2,0.03125,0.02857,0.03125,Russell,51167
2020-08-27,Cumberland Plateau,64,2,70,2,0.03125,0.02857,0.03125,Tazewell,51185
2020-08-27,Crater,273,35,296,36,0.12821,0.12162,0.12821,Dinwiddie,51053
2020-08-27,Crater,273,35,296,36,0.12821,0.12162,0.12821,Emporia,51595
2020-08-27,Crater,273,35,296,36,0.12821,0.12162,0.12821,Greensville,51081
2020-08-27,Crater,273,35,296,36,0.12821,0.12162,0.12821,Hopewell,51670
2020-08-27,Crater,273,35,296,36,0.12821,0.12162,0.12821,Petersburg,51730
2020-08-27,Crater,273,35,296,36,0.12821,0.12162,0.12821,Prince George,51149
2020-08-27,Crater,273,35,296,36,0.12821,0.12162,0.12821,Surry,51181
2020-08-27,Crater,273,35,296,36,0.12821,0.12162,0.12821,Sussex,51183
2020-08-27,Chickahominy,198,13,250,15,0.06566,0.06,0.06566,Charles City,51036
2020-08-27,Chickahominy,198,13,250,15,0.06566,0.06,0.06566,Goochland,51075
2020-08-27,Chickahominy,198,13,250,15,0.06566,0.06,0.06566,Hanover,51085
2020-08-27,Chickahominy,198,13,250,15,0.06566,0.06,0.06566,New Kent,51127
2020-08-27,Chesterfield,625,48,723,59,0.0768,0.0816,0.0768,Chesterfield,51041
2020-08-27,Chesterfield,625,48,723,59,0.0768,0.0816,0.0768,Colonial Heights,51570
2020-08-27,Chesterfield,625,48,723,59,0.0768,0.0816,0.0768,Powhatan,51145
2020-08-27,Chesapeake,340,52,360,54,0.15294,0.15,0.15294,Chesapeake,51550
2020-08-27,Central Virginia,870,70,886,70,0.08046,0.07901,0.08046,Amherst,51009
2020-08-27,Central Virginia,870,70,886,70,0.08046,0.07901,0.08046,Appomattox,51011
2020-08-27,Central Virginia,870,70,886,70,0.08046,0.07901,0.08046,Bedford,51019
2020-08-27,Central Virginia,870,70,886,70,0.08046,0.07901,0.08046,Campbell,51031
2020-08-27,Central Virginia,870,70,886,70,0.08046,0.07901,0.08046,Lynchburg,51680
2020-08-27,Central Shenandoah,293,58,303,60,0.19795,0.19802,0.19795,Augusta,51015
2020-08-27,Central Shenandoah,293,58,303,60,0.19795,0.19802,0.19795,Bath,51017
2020-08-27,Central Shenandoah,293,58,303,60,0.19795,0.19802,0.19795,Buena Vista City,51530
2020-08-27,Central Shenandoah,293,58,303,60,0.19795,0.19802,0.19795,Harrisonburg,51660
2020-08-27,Central Shenandoah,293,58,303,60,0.19795,0.19802,0.19795,Highland,51091
2020-08-27,Central Shenandoah,293,58,303,60,0.19795,0.19802,0.19795,Lexington,51678
2020-08-27,Central Shenandoah,293,58,303,60,0.19795,0.19802,0.19795,Rockbridge,51163
2020-08-27,Central Shenandoah,293,58,303,60,0.19795,0.19802,0.19795,Rockingham,51165
2020-08-27,Central Shenandoah,293,58,303,60,0.19795,0.19802,0.19795,Staunton,51790
2020-08-27,Central Shenandoah,293,58,303,60,0.19795,0.19802,0.19795,Waynesboro,51820
2020-08-27,Arlington,423,27,459,30,0.06383,0.06536,0.06383,Arlington,51013
2020-08-27,Alleghany,152,9,166,10,0.05921,0.06024,0.05921,Alleghany,51005
2020-08-27,Alleghany,152,9,166,10,0.05921,0.06024,0.05921,Botetourt,51023
2020-08-27,Alleghany,152,9,166,10,0.05921,0.06024,0.05921,Covington,51580
2020-08-27,Alleghany,152,9,166,10,0.05921,0.06024,0.05921,Craig,51045
2020-08-27,Alleghany,152,9,166,10,0.05921,0.06024,0.05921,Roanoke County,51161
2020-08-27,Alleghany,152,9,166,10,0.05921,0.06024,0.05921,Salem,51775
2020-08-27,Alexandria,319,15,346,19,0.04702,0.05491,0.04142,Alexandria,51510
2020-08-27,Lord Fairfax,278,9,286,10,0.03237,0.03497,0.03237,Clarke,51043
2020-08-27,Lord Fairfax,278,9,286,10,0.03237,0.03497,0.03237,Frederick,51069
2020-08-27,Lord Fairfax,278,9,286,10,0.03237,0.03497,0.03237,Page,51139
2020-08-27,Lord Fairfax,278,9,286,10,0.03237,0.03497,0.03237,Shenandoah,51171
2020-08-27,Lord Fairfax,278,9,286,10,0.03237,0.03497,0.03237,Warren,51187
2020-08-27,Lord Fairfax,278,9,286,10,0.03237,0.03497,0.03237,Winchester,51840
2020-08-27,Loudoun,672,51,741,55,0.07589,0.07422,0.07589,Loudoun,51107
2020-08-27,West Piedmont,143,18,150,20,0.12587,0.13333,0.12587,Franklin County,51067
2020-08-27,West Piedmont,143,18,150,20,0.12587,0.13333,0.12587,Henry,51089
2020-08-27,West Piedmont,143,18,150,20,0.12587,0.13333,0.12587,Martinsville,51690
2020-08-27,West Piedmont,143,18,150,20,0.12587,0.13333,0.12587,Patrick,51141
2020-08-27,New River,400,94,419,94,0.235,0.22434,0.235,Floyd,51063
2020-08-27,New River,400,94,419,94,0.235,0.22434,0.235,Giles,51071
2020-08-27,New River,400,94,419,94,0.235,0.22434,0.235,Montgomery,51121
2020-08-27,New River,400,94,419,94,0.235,0.22434,0.235,Pulaski,51155
2020-08-27,New River,400,94,419,94,0.235,0.22434,0.235,Radford,51750
2020-08-27,Western Tidewater,539,136,544,136,0.25232,0.25,0.25232,Franklin City,51620
2020-08-27,Western Tidewater,539,136,544,136,0.25232,0.25,0.25232,Isle of Wight,51093
2020-08-27,Western Tidewater,539,136,544,136,0.25232,0.25,0.25232,Southampton,51175
2020-08-27,Western Tidewater,539,136,544,136,0.25232,0.25,0.25232,Suffolk,51800
2020-08-27,Virginia Beach,665,48,692,50,0.07218,0.07225,0.07218,Virginia Beach,51810
2020-08-27,Three Rivers,183,7,192,10,0.03825,0.05208,0.03825,Essex,51057
2020-08-27,Three Rivers,183,7,192,10,0.03825,0.05208,0.03825,Gloucester,51073
2020-08-27,Three Rivers,183,7,192,10,0.03825,0.05208,0.03825,King and Queen,51097
2020-08-27,Three Rivers,183,7,192,10,0.03825,0.05208,0.03825,King William,51101
2020-08-27,Three Rivers,183,7,192,10,0.03825,0.05208,0.03825,Lancaster,51103
2020-08-27,Three Rivers,183,7,192,10,0.03825,0.05208,0.03825,Mathews,51115
2020-08-27,Three Rivers,183,7,192,10,0.03825,0.05208,0.03825,Middlesex,51119
2020-08-27,Three Rivers,183,7,192,10,0.03825,0.05208,0.03825,Northumberland,51133
2020-08-27,Three Rivers,183,7,192,10,0.03825,0.05208,0.03825,Richmond County,51159
2020-08-27,Three Rivers,183,7,192,10,0.03825,0.05208,0.03825,Westmoreland,51193
2020-08-27,Thomas Jefferson,454,39,475,41,0.0859,0.08632,0.0859,Albemarle,51003
2020-08-27,Thomas Jefferson,454,39,475,41,0.0859,0.08632,0.0859,Charlottesville,51540
2020-08-27,Thomas Jefferson,454,39,475,41,0.0859,0.08632,0.0859,Fluvanna,51065
2020-08-27,Thomas Jefferson,454,39,475,41,0.0859,0.08632,0.0859,Greene,51079
2020-08-27,Thomas Jefferson,454,39,475,41,0.0859,0.08632,0.0859,Louisa,51109
2020-08-27,Thomas Jefferson,454,39,475,41,0.0859,0.08632,0.0859,Nelson,51125
2020-08-27,Southside,112,14,115,14,0.125,0.12174,0.125,Brunswick,51025
2020-08-27,Southside,112,14,115,14,0.125,0.12174,0.125,Halifax,51083
2020-08-27,Southside,112,14,115,14,0.125,0.12174,0.125,Mecklenburg,51117
2020-08-27,Roanoke,158,7,180,7,0.0443,0.03889,0.0443,Roanoke City,51770
2020-08-27,Richmond,504,26,584,30,0.05159,0.05137,0.05159,Richmond City,51760
2020-08-27,Mount Rogers,245,32,263,43,0.13061,0.1635,0.13061,Bland,51021
2020-08-27,Mount Rogers,245,32,263,43,0.13061,0.1635,0.13061,Bristol,51520
2020-08-27,Mount Rogers,245,32,263,43,0.13061,0.1635,0.13061,Carroll,51035
2020-08-27,Mount Rogers,245,32,263,43,0.13061,0.1635,0.13061,Galax,51640
2020-08-27,Mount Rogers,245,32,263,43,0.13061,0.1635,0.13061,Grayson,51077
2020-08-27,Mount Rogers,245,32,263,43,0.13061,0.1635,0.13061,Smyth,51173
2020-08-27,Mount Rogers,245,32,263,43,0.13061,0.1635,0.13061,Washington,51191
2020-08-27,Mount Rogers,245,32,263,43,0.13061,0.1635,0.13061,Wythe,51197
2020-08-27,Rappahannock,463,41,490,42,0.08855,0.08571,0.08855,Caroline,51033
2020-08-27,Rappahannock,463,41,490,42,0.08855,0.08571,0.08855,Fredericksburg,51630
2020-08-27,Rappahannock,463,41,490,42,0.08855,0.08571,0.08855,King George,51099
2020-08-27,Rappahannock,463,41,490,42,0.08855,0.08571,0.08855,Spotsylvania,51177
2020-08-27,Rappahannock,463,41,490,42,0.08855,0.08571,0.08855,Stafford,51179
2020-08-27,Prince William,712,71,773,81,0.09972,0.10479,0.09972,Manassas City,51683
2020-08-27,Prince William,712,71,773,81,0.09972,0.10479,0.09972,Manassas Park,51685
2020-08-27,Prince William,712,71,773,81,0.09972,0.10479,0.09972,Prince William,51153
2020-08-27,Portsmouth,219,29,220,30,0.13242,0.13636,0.13242,Portsmouth,51740
2020-08-27,Pittsylvania-Danville,231,36,235,37,0.15584,0.15745,0.15584,Danville,51590
2020-08-27,Pittsylvania-Danville,231,36,235,37,0.15584,0.15745,0.15584,Pittsylvania,51143
2020-08-27,Piedmont,143,13,151,13,0.09091,0.08609,0.09091,Amelia,51007
2020-08-27,Piedmont,143,13,151,13,0.09091,0.08609,0.09091,Buckingham,51029
2020-08-27,Piedmont,143,13,151,13,0.09091,0.08609,0.09091,Charlotte,51037
2020-08-27,Piedmont,143,13,151,13,0.09091,0.08609,0.09091,Cumberland,51049
2020-08-27,Piedmont,143,13,151,13,0.09091,0.08609,0.09091,Lunenburg,51111
2020-08-27,Piedmont,143,13,151,13,0.09091,0.08609,0.09091,Nottoway,51135
2020-08-27,Piedmont,143,13,151,13,0.09091,0.08609,0.09091,Prince Edward,51147
2020-08-27,Peninsula,577,76,592,78,0.13172,0.13176,0.13172,James City,51095
